form	sense	year	origin	Loan
bódorog ×	langsam, unsicher gehen, wandern, herumschweifen,  taumeln,  sich schlängelnd emporsteigen 〈Rauch〉	1648.0	internal	False
bodza	Holunderbaum, Holunderstrauch,  Holunderbeere	1090.0	Slavic	True
bodzfa ×	Holunder,	1257.0	compound	False
bog	Knoten, Knorren,  Glied, Ast	1138.0	Proto-Finno-Ugric	False
bogáncs	Distel,  dornige, stachelige Frucht der Distel od anderer Pflanze,	1248.0	derived word	False
bogár	Käfer,  Mucke,  Pupille,  von Insekten geplagt laufen,  von Käfern bedeckt,  grillenhaft	1138.0	internal	False
boglár ∆	metallbeschlagene, knopfförmige Edelstein-, Perlen-, Emailverzierung,  Hülse,  Hahnenfuß 〈Pflanze〉,  kleine Schmuckspange,  Hahnenfuß 〈Pflanze〉	1505.0	loan	True
boglya	Heuschober,  Frisur, Schopf,  Häufchen,  Lehmofen 〈im Bauernhaus〉	1291.0	uncertain	False
isbognár	Wagner,  Faßbinder	1392.0	loan	True
bogrács	kleiner Kochkessel	1703.0	Ottoman-Turkic	True
bogyó	Beere,  dürre Frucht,  unreifer Apfel,  Knoten	1505.0	Proto-Uralic	False
bohém	Boheme,  Bohemien,  der Boheme gemäß, zur Boheme gehörig	1885.0	German	True
bohó	einfältig, töricht,  grollig	1575.0		False
bója	Boje	1865.0	German	True
bojár	Angehöriger des privilegierten Standes in der ehemaligen Walachei und Moldau, einer der Freigelassenen od Adeligen in der Gegend von Fogarasch,  russischer Feudalherr,  〈rumänischer〉 adeliger Grundbesitzer	1486.0	German	True
bojkott	Boykott	1895.0	international word	True
bojnyik ×	Straßenrauber,  einfältiger, schüchterner Mensch,  Person mit düsterem Blick	1690.0	Slovakian	True
bojt	Büschel, Zottel, Quaste, Behang,  Knoten, Knorren,  Tannenzweig,  Pfropfreis, Pflänzling,  junger Nadelbaum, Gruppe von Nadelbäumen	1181.0	unknown	False
bojtár	Hirtenjunge	1621.0	uncertain	False
bojtorján	Klette	1237.0	Turkic	True
bojtorkodik ×	sich in etw verwickeln,  mit jmdm anbinden, nörgeln,  es wird bewölkt,  zornig schreien	1628.0		False
boka	Schienbein,  Knöchel,  Handgelenk,  Leder für Bunchuhe,  Art Fußbekleidung,  tanzen	1193.0	Turkic	True
bokály ×	feinglasierter 〈verzierter〉 Tonkrug, Maßeinheit für Wein,  Kachel,  Becher	1549.0	loan	True
bóklál ×	herumirren, herumgehen,  jmdm unter den Füßen sein	1831.0		False
bókol	sich verbeugen, Bücklinge machen,  nicken, nickend schlummern,  huldigen, komplimentieren	1778.0		False
bokolyó ×	irdenes od hölzernes Trinkgeschirr, Fäßchen	1604.0	blending	False
bókony ×	Rippe des Schiffes,  Pflugstelze	1528.0		False
bokor	Strauch, Busch,  Büschel, Haufen,  ein Paar,  Menschengruppe, Hausleute,  buschig,  durchgehend 〈Pferd〉,  bestauden,  durchgehen 〈Pferd〉	1055.0	unknown	False
bokorugró ∆	kurz 〈Kleid〉,  unzuverlässig	1647.0	compound	False
bokréta	Kranz, Blumengewinde,  Gesamtheit von Verzierungsmotiven in rosettenartiger Anordnung,  Blüte einer Pflanze, Blütenstand,  Blumenstrauß	1585.0	derived word	False
boksa ×	Folterbank,  junger Ziegenbock, einjähriger Hammel,  Kohlenmeiler	1211.0	derived word	False
boksz¹	Faustkampf,  Verteidigungsstellung im Faustkampf,  Faustschlag	1780.0		False
boksz²	abgesonderter Pferdestand 〈im Stall〉,  Nische 〈in Gaststätten, Cafes〉, Abteil 〈im Eisenbahnwagen〉	1896.0	international word	True
boksz³	Schuhcreme,  Boxkalb	1906.0		False
boldog	heilig, selig,  reich,  glücklich, freudig, zufrieden,  friedlich, gut,  dick,  schwanger,  fortkommen,  glücklich werden,  fortkommen,  selig,  Verstorbener,  verstorben	1193.0	internal	False
bólé	Gefäß für Bowle,  Bowle	1854.0	German	True
boleró	Art spanischer Tanz,  Bolerojäckchen,  runder Damenhut	1838.0	international word	True
bolgár	Bulgare,  türkischer Wolga- und Donaubulgare,  bulgarischer Gärtner,  bulgarisch	1138.0	Bulgarian	True
bolha	Floh,  Art Kinderspielzeug,  Holzteile versch Werkzeuge	1200.0	Slavic	True
bólogat	nickend schlummern,  sich wiegen 〈Federbusch, Laubwerk〉,  wiederholt nicken 〈als Zeichen der Zustimmung〉	1783.0		False
bolond	Narr,  Fadenspannstein am Webstuhl,  närrisch, unvernünftig,  giftig 〈Pflanze, Pilz〉	1200.0	Slavic	True
bolonyik	Froscheppich,  Ehrenpreis 〈Bot〉 	1628.0	Slavic	True
bolsevik	Bolschewik	1907.0		False
bolt¹ †	quellen 〈Wasser〉,  strömen 〈Duft〉	1416.0	derived word	False
bolt²	Gewölbe,  Laden, Geschäft,  Räumlichkeit mit gewölbter Decke, Kammer, Keller,  Bogen, Regenbogen,  gewölbt,  Kaufmann	1211.0	loan	True
boly	Ameisenhaufen,  Bülte,  Gruppe, Rudel,  Bündel,  Maulwurfshügel	1213.0	unknown	False
bolyh	flauschiges Oberkleid,  Flaum, Zotte,  Darmzotte	1561.0		False
bolyong	herumgehen, herumschweifen,  herumirren,  Irrfahrt,  Planet	1343.0		False
bomba	Bombe,  Lavastück	1685.0	Wanderwort	True
bombarda ∆	Art altes Sturmgeschütz, Mörser	1557.0	German	True
bombardon	Baßtuba	1859.0	international word	True
bombaszt ∆	Bombast	1806.0	German	True
bon	Gutschein	1865.0	international word	True
bonbon	Bonbon	1845.0	international word	True
bonc¹ ×	Schenkel	1193.0	unknown	False
bonc²	buddhistischer Priester,  Gewerkschafts- od Parteibürokrat	1786.0	German	True
boncol	eingehend untersuchen, analysieren,  sezieren	1675.0	derived word	False
boncsok ∆	Pferdehalsschmuck, Halskette,  türkische Kriegsfahne	1500.0	Ottoman-Turkic	True
bong	dumpf tönen	1554.0	onomatopoetic	False
bongor ×	Obstgarden,  Dickicht, Gebüsch	1618.0	loan	True
bont	zerstören, zugrunde richten,  aufmachen, auflockern, zerlegen,  brechen 〈Freunchaft〉, verletzen 〈Befehl〉	1337.0		False
bonta ×	bunt,  glatthaarig,  altes 〈Schwein〉	1321.0	loan	True
bonviván	Lebemann,  Heldenlienhaber	1799.0		False
bonyolít	winden,  verstricken,  erledigen,  Sacharberiter	1533.0		False
bor	Traubenwein,  Obstwein	1086.0	Turkic	True
bór	Bor,  Borax	1815.0	international word	True
bóra	Bora	1717.0	loan	True
bórax	Borax	1757.0	international word	True
borbély	Barbier, Bader,  Felcher, Wundarzt	1393.0	Wanderwort	True
borbolya ×	Berberitze	1522.0	uncertain	False
borda	Weberkamm,  Rippe 〈als Körperteil〉,  rippenähnliche Verstärkung, Erhöhung,  Schiffsrippe,  Küchengerät mit gerippter Oberfläche	1355.0	Slavic	True
bordély ∆	Bordell	1405.0	loan	True
bordó	weinrot,	1885.0	internal	False
borissza ∆	Trunkenbold	1434.0		False
borít	hüllen,  umstoßen, ausgießen,  überfluten, versenken,  in irgendeinen Zustand versetzen,  sich begatten, ,  Deckel,  Kuvert	1456.0		False
borul	stürzen, fallen,  sich verdunkeln, sich verdüstern,  sich häupteln	1512.0		False
borjú	Kalb,  Jungtier,  Schwachkopf,  Tornister,  Art Kartenspiel	1211.0	Chuvash	True
bornírt ∆	borniert	1846.0	German	True
boróka	Wacholderbeere,  gemeiner Wacholder,  Sadebaum,  Wacholder-branntwein,  Stelle, wo Wacholder wächst	1791.0	Slovakian	True
borona¹ ×	Balken, Langholz,  Rute, Flechtwerk,  Bretterzaun,  Art Grundnetz	1406.0	Slavic	True
borona²	Egge	1481.0	Slavic	True
borosta	Bürste, Weißpinsel,  Borste,  Art Viehkrankheit	1347.0	loan	True
borostyán¹	Efeu, Lorbeer,  Flieder 	1282.0	Slavic	True
borostyán²	Bernstein,  Gruntoff einer schwarzen Farbe,  Bimsstein	1803.0	German	True
boroszlán ×	Fliederstrauch, Fliederblüte,  Lorbeerbaum,  Seidelbast 	1783.0		False
borotva	Rasiermesser	1332.0	Slavic	True
borovicska ×	Wacholderbranntwein,  Wacholder	1794.0	Slovakian	True
borravaló	Trinkgeld	1620.0	compound	False
bors	Pfeffer,  Paprika,  Hungerblümchen	1075.0	Turkic	True
borsó	Erbse,  〈als Name der Hülsenfrüchte〉,  Bohne,  Wicke,  eine Gänsehaut bekommen	1229.0	Turkic	True
borsóka	Frühlingswicke,  Finne 〈im Schweinefleisch〉,  〈zur Benennung versch gestickter Muster〉,  Drüse, Warze am Hals des Truthahns	1783.0		False
borz	Dachs 	1131.0	Turkic	True
borzad	die Haare stehen ihm zu Berge,  schaudern,  zusammenzucken 〈vor Kälte, Furcht, Ekel〉	1516.0		False
borzalom	Grauen erregendes Ding, Schauder	1814.0		False
bosnyák	Bosnier,  Schokatze,  Wanderhändler vom Balkan,  bosnisch	1389.0	Croatian or Serbian	True
boszorkány	Hexe,  zauberhaft,  verblüffend,  sehr geschickt	1552.0		False
bosszant	ärgern	1416.0		False
bosszú	zornige Gemütsbewegung, Rache,  verleumderisch,  lästerlich	1372.0	Turkic	True
bosztán ×	Gemüsegarten, Melonenfeld,  Kürbis	1880.0	Romanian	True
bot	Kolben, Keule, Stock, Stab,  Zepter,  Streitkolben,  Aufsicht, Herrschaft, Macht,  Klotz 〈am Brunnenschwengel〉,  prügeln,  Weidenruten schneiden, die Zweige abschneiden	1131.0	uncertain	False
botanikus	Botaniker,  botanisch	1664.0		False
botfülű	schwehörig,  kein musikalisches Gehör habend 〈Person〉	1900.0	compound	False
botlik	stolpern	1508.0		False
botor	dumm, töricht,  stammelnd	1504.0	backformation	False
botos ∆	Art Schuhwerk, Filzstiefel,  Fußlappen, Strumpf,	1405.0	loan	True
botránkozik	stolpern,  Anstoß nehmen,  sündigen	1835.0		False
botrány	Skandal	1834.0	derived word	False
bóvli	Bofel	1920.0	German	True
boza ×	Art Bier,  ausgesickerter Saft eines Baumes,  Mulm	1422.0	Turkic	True
bozontos	dicht behaart, zottig,  zerzaust 〈Haar〉	1779.0		False
bozót	Röhricht,  Horst, Dickicht	1731.0	derived word	False
bő	reich,  breit, weit,  weitschweifig, ausführlich,  sich vermehren,  reichlich	1138.0	Turkic	True
bödön	Holz- od Metalltönnchen für Nahrungsmittel,  hohler Baumstamm 〈als Brunnenauskleidung〉, Brunnenkranz,  Bienenstock,  Gangspill,  Einbaum,  hohler Baumstamm mit Loch im Stamm,  Fördergefäß	1214.0	Croatian or Serbian	True
böfög	wiederholt rülpsen,  derb über etw reden,  〈im Weinen〉 schluchzen,  brüllen 〈Rohrdommel〉	1577.0		False
bőg	brüllen, schreien, lärmen 〈Person〉,  muhen,  röhren,  brausen, heulen 〈Gegenstand, Naturerscheinung〉,  brüllend weinen,  Baßgeige	1251.0		False
bögöly	Seidenfliege,  Dassel 	1550.0	uncertain	False
bögre	Töpfchen	1577.0	unknown	False
bögyörő ×	Penis eines kleinen Knaben,  Kartoff elnudel	1481.0		False
böjt	Fastenzeit,  Hungern, 〈rituelles〉 Fasten,  Elend	1181.0	loan	True
bök	strechen, stoßen,  verletzen,  zeigen	1198.0	unknown	False
bőkezű	freigebig	1513.0	compound	False
bökken ∆	taumeln, wackeln,  antreffen,  anstoßen,  Haken, Schwierigkeit	1611.0	derived word	False
bölcs	weise,  kluge Person,  Gelehrter, Philosoph	1211.0	Turkic	True
bölcső	Wiege	1262.0	Chuvash	True
bölény	Auerochs, Wisent, Bison	1211.0	Turkic	True
böllér ×	Fleischverarbeiter,  -händler,  Schweineschlächter, ungelernter Fleischer	1405.0		False
bölömbika	Rohrdommel	1395.0	compound	False
bömböl	heulen, brüllen 〈Tier〉,  brüllen 〈Person〉,  brüllen, brausen 〈Gegenstand, Naturerscheinung〉,  brüllend weinen	1456.0	onomatopoetic	False
böngészik	mit mühevollem Suchen sammeln,  in Schriften, Büchern herumstöbern,  im Obstgarten Nachlese halten,  Antiquariat	1759.0		False
bőr	Leder,  Haut, Fell,  Fruchthülle,  Haut 〈auf der Milch〉,  Weib 〈in sexueller Beziehung〉,  Ball 〈im Fußball〉,  Haut 〈auf der Milch〉	1372.0	Proto-Uralic	False
börberi	Art leichter Stoff	1922.0		False
bőregér ×	Fledermaus	1788.0	compound	False
bőrönd	Koffer,  Leder,  Rucksack	1786.0	internal	False
börtő ∆	Körnchen 〈in der Filigranarbeit〉	1560.0	Turkic	True
börtön	Henker, Kerkermeister,  Kerker,  Kerkerstrafe	1261.0	unknown	False
börze	Börse,  Verwertung unveräußerlicher Warenbestände	1793.0	German	True
börzsöny ∆	Art Farbstoff,  Kermesbeere,  Brasilholz,  Rizinus	1236.0		False
bőszít	erbosen	1784.0		False
böszörmény †	Ismaelit	1246.0	Turkic	True
brácsa	Bratsche	1771.0	German	True
bráha ∆	schlechter Branntwein,  Schlempe,  Branntweinsatz	1755.0	Romanian	True
brancs	Branche,  Kreis von guten Kameraden 〈scherzhaft od pejor〉	1848.0	German	True
bravó	bravo!	1787.0	Italian	True
brávó ∆	Meuchelmörder	1833.0	loan	True
bravúr	Bravour	1790.0	international word	True
brekeg	quaken	1815.0	onomatopoetic	False
bricsesz ∆	Breeches	1904.0	German	True
bricska	Britschka	1820.0	Slavic	True
bridzs	Bridge	1902.0	international word	True
brigád	Brigade 〈milit〉, Schar,  Arbeitsgruppe	1707.0	German	True
brigadéros ∆	Brigadier	1705.0		False
briganti	Brigant	1865.0	Italian	True
brikett	Brikett	1891.0	international word	True
briliáns	Brillant,  mit Brillanten besetzt,  brillant,  brillantartig geschliffen	1759.0	international word	True
brillíroz	brillieren	1808.0	German	True
brindza ×	weicher Schafkäse	1546.0	Wanderwort	True
bringa	Fahrrad	1924.0	uncertain	False
briós	Brioche	1921.0	international word	True
brit	keltischer Brite 〈im Altemtum〉,  Bewohner von Großbritannien,  britisch	1793.0	German	True
brokatell ∆	Brokatelle	1620.0		False
bróm	Brom	1833.0	international word	True
bronz	Bronze	1785.0	international word	True
bross	Brosche	1848.0	German	True
brosúra	Broschüre	1791.0	German	True
brr	〈Interj〉	1794.0	onomatopoetic	False
brúgó¹ ∆	Brotlaib, Brotration	1517.0	unknown	False
brúgó² ×	Altgeige, Violoncello, Baßgeige,  〈zur Benennung versch tönender Spielzeuge〉,  Heurechen	1792.0	derived word	False
brummog	brummen, murren	1900.0	onomatopoetic	False
brutális	brutal	1790.0		False
bruttó	brutto,  Bruttogewicht	1834.0	German	True
bú	Gram	1138.0	Turkic	True
búb	Höcker,  Kamm, Schopf 〈des Vogels〉,  Frauenkopfschmuck,  Federbusch, Roßhaarbusch 〈als Pferdekopfschmuck〉,  Scheitel	1138.0	onomatopoetic	False
buba ×	Puppe	1763.0	German	True
bubi ∆	Bübchen,  Bube 〈in der Spielkarte〉,  Bubikopf	1843.0	loan	True
bubolyicska ×	Knolle,  Knollenkerbel,  Rebendolde,  Kartoffel	1578.0		False
buborék	Luftblase	1560.0	derived word	False
buci	Semmel,  Art kleines Gebäck aus Brotmehl	1898.0	uncertain	False
buckó ×	massig, gedrungen,  Knoten, Ausbauchung	1708.0		False
búcsú	Erlaubnis,  Ablaß,  Abschied,  Wallfahrt,  Kirchweihfest,  auf ein Kirchweihfest bezüglich,  Teilnehmer an einem Kirchweihfest	1211.0	Chuvash	True
buda ×	Abort,  Schuppen, Bude	1642.0		False
isbufa ×	übergoß,  pauspäckig,  dumm,  Backen,  Schlag auf den Rücken	1588.0		False
bufán †	Turnüre	1785.0		False
búg¹	〈die Köpfe zusammensteckend〉 flüstern,  girren, gurren,  brünstig sein, sich begatten 〈haupts Schwein〉,  brausen, brummen	1552.0		False
búg² ×	Vogelhaus,  Fach, Zelle,  Wachszelle,  Vogekäfig	1585.0	unknown	False
buga¹ ×	Gallapfel,  Kapselfrucht, Tannenzapfen,  Augapfel,  Kokon, Lein- od Hanfbündel,  Rispe,  Metallbarren	1215.0	derived word	False
buga² ×	Ochs,  hornloses Rind,  abgestumpft 〈Horn〉,  dumm 〈Bauer〉,  ungehörnt	1775.0	unknown	False
buger ∆	verächtliche Person,  Art Taler,  slowakischer Schnitter,  Vierkreuzerstück,  Bauer,  Vierkreuzerstück 〈Person〉,  dumm, hartnäckig	1742.0	Croatian or Serbian	True
bugris	dumm,  großköpfig,  zerzaust,  ungehobelter Mensch, Tölpel,  Bauer	1833.0	uncertain	False
bugyborék	Luftblase	1575.0	blending	False
bugyelláris ×	Notizbuch, Merkbuch,  Geldbeutel	1666.0	Latin	True
bugylibicska	Taschenmesser,	1878.0	compound	False
bugyog	bauschig sein,  sprudeln,  sich beeifern,  strömen,  Hose	1565.0		False
bugyolál	einwickeln	1791.0		False
bugyor	Bündel, Gepäck,  Ranzen,  Art Hefegebäck	1594.0	derived word	False
buja	wollüstig, unkeusch,  üppig,  Kebsweib,  Wollüstling	1416.0	Slavic	True
bújik	sich verbergen,  hineindringen in etw,  tauchen,  sich in etw vertiefen,  schlüpfen 〈in ein Kleidungsstück〉,  aufgehen 〈Pflanze〉,  Verbannter,  Vorwand,  Ausweg	1138.0	uncertain	False
bujt¹	verstecken, einsammeln,  ablegen 〈Pflanzentrieb, Ausläufer, bes Weinrebe〉	1416.0	derived word	False
bujt²	jmdm etw eingeben, jmdn zu etw bewegen,  aufhetzen zu etw Bösem	1532.0	derived word	False
bukéta ∆	Blumenstrauß	1794.0	international word	True
bukfenc	Purzelbaum,  〈zum Ausdruck der Entrüstung und der Geringachtung〉,  Bockspringen 〈Kinderspiel〉,  Rachlagen,  ungenügende Antwort bzw Note »ungenügend« 〈in der Schülerspr〉,  〈als scherzhafte Anrede〉	1574.0	internal	False
bukik	tauchen,  fallen, stürzen,  eine Niederlage erleiden,  auf etw stoßen,  die führende Rolle verlieren,  fallieren,  zu Fall kommen,  durchfallen 〈in einem Unterrichtsfach〉,  der Polizei in die Hände fallen,  erpicht sein	1211.0	unknown	False
buksi	groß 〈Kopf〉,  untertauchend 〈Wassertier〉,  hinterlistig,  dämlich, ungeschickt,  eigensinnig,  Kopfhänger,  Mensch, bes Kind mit großem Kopf,   Kopf 〈bes eines Kindes〉	1793.0	derived word	False
buksza ×	Geldbüchse,  Geldbeutel,  Buchse in der Radnabe	1783.0	German	True
bukszus	Schreibtafel aus Buchsbaumholz,  Buchsbaum	1416.0	Latin	True
bukta	versch Arten von Mehlspeisen, Kuchen,  gefülltes Hefegebäck	1795.0	Slovakian	True
bulándra ×	Lumpen,  Dirne,  zerlumpter Mensch	1875.0	Romanian	True
buldog	Bulldogge	1848.0	German	True
buli	eine Runde od eine Partie 〈im Kartenspiel〉,  gemeinsames Unternehmen, angenehmer Zeitvertreib,  Teller für die Einsätze der Kartenspieler,  Verbrechen,  Budenzauber 〈bes von Jugendlichen〉	1942.0	German	True
bulla	päpstlicher od königlicher Erlaß bzw Urkunde,  Siegel,  Agraffe 〈als Schmuckstück〉,  Siegelkapsel	1389.0		False
bulvár ∆	Ringstraße, breite Allee in einer Stadt,  Wall, Bollwerk,  Promenade	1840.0	German	True
bulya ∆	türkische Frau,  Kebsweib,  türkisch, orientalisch,  dünn, schütter	1556.0	Croatian or Serbian	True
bumeráng	Bumerang,  auf den Urheber zurückfallende Beleidigung, Anschuldigung od Behauptung	1879.0	international word	True
bumfordi	Possenreißer, Schauspieler,  Einfaltspinsel,  dickliches, rundliches Kindchen,  unvernünftig, dumm,  düster, zornig,  derb, ungebildet,  vierschrötig, ungeschickt	1705.0	compound	False
bumli	Bummeln,  Bummelzug,  bummeln	1888.0	German	True
bunda	Pelz,  Tierfell, Zottelhaar,  Art Weste,  Haarwuchs,  Note »ungenügend«,  Pflanzendecke,  gekauftes Spiel, Schiebung 〈Mißbrauch beim Fußball usw〉,  Rekrut	1723.0	uncertain	False
bunker	Kohlenbunker,  Deckung, Luftschutzbunker	1912.0	German	True
bunkó	Knoten, Gelenkknorren,  Kolben,  Knotenstock, Stampfer,  Kern, Wesen,  Grobheit,  Note »ungenügend«,  Lümmel, Lackel,  grob tadeln	1585.0	unknown	False
bunyevác	bunjewatzisch,  Bunjewatze	1704.0	Croatian or Serbian	True
bunyó	Prügel, Prügelei,  Faustkampf,  Ohrfeige	1917.0	Italian	True
búr	Bure,  Buren-, burisch	1899.0	international word	True
burdó ×	Dudelsack,  ledernes Säckchen für Quark,  Baßpfeife des Dudelsackes,  Bauch 〈scherzhaft〉	1565.0	Romanian	True
burgonya	Kartoffel 	1803.0	uncertain	False
burgundi	burgundisch,  Burgunderwein,  Burgunderrübe,  burgundisch	1782.0	internal	False
burján ×	Gestrüpp,  Unkraut,  Heilkraut	1343.0		False
burját	Burjäte,  burjätisch	1750.0	international word	True
burkus ∆	Preuße,  preußisch,  roh, unnachgiebig	1645.0	clipping	False
burleszk	Burleske,  burlesk	1788.0	international word	True
burnót ∆	Schnupftabak	1748.0	Ottoman-Turkic	True
burnusz	burnusähnl Damen- od Herrenmantel,  Burnus	1854.0	international word	True
burok	Hülle, Kapsel,  Fruchtblase,  dichtes Laub,  zusammenbinden,  einwickeln,  essen	1332.0	derived word	False
burzsoá	Bourgeois	1835.0		False
busa ×	untersetzt, kräftig,  großköpfig,  wohlhabend,  pausbäckig,  voll 〈Stimme〉,  derb, roh,  eigensinnig,  dicke Augenbrauen od einen düsteren Blick habend,  hinterlistig,  dumm,  Dickkopf,  Art großköpfiger Fisch	1138.0	unknown	False
busás	breitstirnig, mit krausem Stirnhaar,  grob, rücksichtslos,  reichlich, ausgiebig,  eigensinnig, störrisch,  untersetzt, dick,  dicht 〈Augenbrauen〉	1762.0		False
busz	 Omnibus,  Autobus	1859.0	uncertain	False
búsz ×	drückende Hitze, stickige Luft,  Dampf,  erstickend,  tückisch	1508.0	Turkic	True
buszma ×	tölpelhaft, schwerfällig,  hochmütig, aufgeblasen	1787.0	derived word	False
buszujog ×	Basilikum	1708.0	Romanian	True
buta	abwärts gebogen,  dumm,  stumpf,  derb,  schwer, dicht,  blind, unberechenbar,  stumpf,  Dummerl	1199.0	unknown	False
butélia ×	Flasche	1735.0	Wanderwort	True
butik	Kneipe,  Zelt, Hütte, Bude,  kleines Modegeschäft	1831.0	German	True
bútor	Möbel,  Bündel, Gepäck	1786.0	uncertain	False
butykó ×	Knoten, Schwellung,  Knotenstock	1604.0		False
butykos ×	enghalsige Flasche,	1669.0	lexicalised internal development	False
búvár	Art Vogel,  Taucher,  〈zur Benennung versch Wasservögel〉,  Forscher	1533.0		False
búza	Weizen	1138.0	Chuvash	True
búzavirág	Kornblume 	1578.0	compound	False
buzér	Färberröte	1708.0	unknown	False
buzeráns	Homosexueller			False
buzog	sprudeln, quellen,  sich beeifern,  wallen,  strömen lassen,  quellend,  eifrig,  Wasserwirbel,  Qualmwasser	1327.0		False
buzogány	Streitkolben, Knotenstock,  Rispe,  Keule 〈Turngerät〉	1424.0	Turkic	True
bű	〈Interj zum Ausdruck des Gaffens〉	1636.0	onomatopoetic	False
bűbáj	Zauber, Quacksalberei,  Scharm,  Zauberer,  zauberkräftig,  entzückend	1476.0		False
büdös	stark riechend, stinkend,  abstoßend,  unangenehm, beängstigend 〈Angelegenheit, Situation〉,  Auslauf in einem Ballspiel,  Gefängnis	1135.0	derived word	False
büdöske ×	Sammetblume,  Hundille,  eine gewisse Stelle in einem Ballspiel,  Wanze, Blindwanze,  eine Weinstockart	1775.0	derived word	False
büdzsé	Budget	1796.0	international word	True
büfé	Anrichte,  kaltes Büfett,  Imbißstube	1810.0	international word	True
bükk	Buchenwald,  Buche	1086.0	uncertain	False
bükköny	Wicke	1549.0	loan	True
bűn	Sünde,  Gesetzesbruch,  Fehler, Mangel,  sünden,  sünden,  versündigen	1512.0	unknown	False
bűnbak	Sündenbock	1863.0	German	True
bürokrata	Bürokrat,  bürokratisch	1826.0		False
bürök	Schierling 	1357.0	unknown	False
bürü ×	Laufbrücke,  Landenge, Erdzunge	1322.0	Slavic	True
büszke	stolz, selbstbewußt,  stickend, abstoßend	1594.0	derived word	False
bütü ×	 Ende eines Bodenstückes,   Ende, Spitze eines Gegenstandes,	1285.0	Turkic	True
bütyök	Knoten,  Gelenkknorren, Auswuchs 〈bes an Zehen od Fingern〉,	1531.0		False
bűvész	Zauberer,  Schwarzkünstler	1829.0	internal	False
bűvös	zauberhaft, magisch	1138.0		False
bűz	Geruch, Gestank,  schlechter Ruf,  unangenehm auffallende Art einer schlechten Charaktereigenschaft,  brenzlige Situation,  Auslauf in einem Ballspiel,  faulen,  stinken	1233.0	uncertain	False
be¹	〈eine Verbalwortsilbe〉,  nach innen,  drinnen	1372.0		False
be²	wie !	1610.0		False
bébi	Baby	1816.0		False
bece ×	Kälbchen, Kuh 〈in der Kindersprache〉,  Schoßkind,  heranwachsendes Mädchen	1786.0		False
becő	Hülsenfrucht,  Weizen,  Schote, Hülse	1247.0		False
becs	〈kostbares〉 Deposit,  Maß, Maßgefäß,  Schätzung,Schätzungswert,  Verehrung,  Last,  Schatzmeister	1389.0		False
bécs †	eine kleine Münze, zwei Drittel eines Hellers	1364.0		False
becsiccsent	sich einen  Rausch antrinken	1888.0		False
beduin	Beduine,  Art Damenmantel,  beduinisch, Beduinen-	1787.0		False
befolyás	Einfluß	1755.0		False
befőtt	Marmelade,  Dunstobst,	1835.0		False
bég¹ ×	blöken	1292.0		False
bég² ∆	türkischer Würdenträger niedrigeren Ranges als der Pascha	1476.0		False
beglerbég ∆	Provinzstatthakter im Ottomanischen Reich	1542.0		False
begy	Kropf der Vögel,  Magen,  Fingerkuppe,  weibliche Brust,  stolz	1318.0		False
behemót	ein gewisses mächtiges Tier 〈in der jüdischen und christlichen Myth〉,  Elephant,  Vieh, großes Tier,  Riesenkerl,  robust	1578.0		False
bejgli	Mohn-, Nußkuchen	1899.0		False
béka	Frosch, Kröte,  Geschwulst,  Art Pferde- und Viehkranheit,  Kind, Backfisch,  springender Feuerwerkskörper,  Bizeps	1295.0		False
béke	Ruhe,  Friede, Friedenschluß,  Bund,  sich versöhnen,  sich demütigen 	1086.0		False
bekecs	kurzer Pelzrock mit Schnüren	1774.0		False
béklyó	Fessel, Fußeisen	1395.0		False
bekrepál	verrecken, kaputtgehen	1935.0		False
bél	Eingeweide, das Innere,  Fruchtfleisch,  Docht,  Seele,  Darm,  Magen,  inner	1055.0		False
bele	in 〈Akk〉,  hinein,  darin,  darum	1416.0		False
belég	Beilage zu offiziellen Schriften, Quittung,  Angabe 〈in der Philologie〉	1957.0		False
beleget ×	einwiegen	1585.0		False
belénd ×	Bilsenkraut,  Wasserschierling	1395.0		False
beléndes †	unkeusch, unzüchtig,  Unzucht	1380.0		False
béles	Art Fladen, Art Kuchen,  blätteriges, gefülltes Gebäck	1395.0		False
bélés	Futtereines Kleidungstückes	1395.0		False
belga	Belgier,  Niederländer,  niederländisch,  belgisch	1602.0		False
abbeli	diesbezüglich, -betreffend	1520.0		False
belice ×	weißes Schaf	1570.0		False
bélpoklos ∆	wassersüchtig,  vom Schlag gerührt,  aussätzig,  gefräßig	1416.0		False
belső	inner,  intim,  das Innere 〈eines Gegenstandes〉,  Seele	1225.0		False
belül	aus,  von,  wegen,  innerhalb,  in 〈mit Akk〉,  von innen,  drinnen,  in 〈mit Akk〉,  das Innere	1372.0		False
bélyeg	Brandmal, Brandmarke,  Narbe,  mal, KEnnzeichen,  Siegel,  Wertzeichen,  Briefmarke	1263.0		False
béna	lahm, krüppelhaft,  verstümmelt,  hinkend,  kraftlos,  Lahmer	1372.0		False
bencés	Benediktinermönch,  zum Benediktinerorden gehörend,  Benediktinermönch	1852.0		False
bendő	Bauch,  Wamme,  Magen, Pansen,  Rinblase,  Art Behälter, bauchiger Krug,  Kuttel,  wulstige Wurzel	1398.0		False
benne	in ihm,  darüber, davon,  darin,  ihm gegenüber,  daraus,  von ihnen,  seinetwegen	1372.0		False
benneteket	euch,	1573.0		False
bennfentes	eingeweiht, zu einer Clique gehörend	1873.0		False
