ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1004	813	DO	csinál	 verfertigen; herstellen;  stellen;   tun;   entstehen;  errichten;   ausbessern;  machen;   hecheln;   legen;   zeugen;  beischlafe 〈in euphem Ausdrücken〉;   verursachen;   Schein-;  erkünstelt	  tun	tun-4
1010	2009	DOG	eb	Hund;   niederträchtiger Kerl;   Hunde-;  Hun-;  hündisch	Hund	Hund-1
1013	2009	DOG	kutya	  schuftig;  niederträchtig;   sehr;   Art Kartenspiel;   Förderwagen;  Detektiv;   Hund; niederträchtiger Kerl;   Trabant in ungarischer Tracht;   Hündchen;   〈zur Benennung versch Geräte;  Bestandteile〉;   niemand;  nichts;  außerordentlich schlecht;   streng 〈Pflicht〉	  Hund	Hund-4
1015	1659	DOLL	bábu	Puppe;   Kegel;  Figur 〈in versch Spielen〉;   Marionette 〈pejor〉 	Puppe	Puppe-2
1018	196	DONATE	ad	zukommen lassen;  schenken;   geben;  liefern;   lassen;   verkaufen;   veröffentlichen;   Geben;   Beleg;  Angabe;   Gesetzgeber;   Herausgeber;   〈als Teil eines Schimpfw〉;   Tradition;   Beitrag 	 schenken	schenken-1
1019	1567	DOOR	ajtó	Tür; Tür;  ajtóőriző;   öffnen	Tür	Tur-1
1021	1567	DOOR	porta	 Tür;   Grunteuer; Tor;   die  Pforte;    Liegenschaft;   vom Pförtner bewachter Eingang;  Pförtnerloge;   Haus und Hof besitzend;   Hofbauer;   Gesandter zur Hohen Pforte;   Pförtner	 Tür	Tur-3
1022	1326	DOWN	alá	abwärts;   unten;   darunter;   hinunter;   für;   unterhalb 	abwärts	abwarts-1
1024	1326	DOWN	le	  nieder mit ihm;   unten;  hinunter;  hinunter; ab;   ab;  her-;  her-;  her-;  her-;  hinab;  hinab;   auf eine niedrigere Stufe 〈in der Rangordnung〉;  herunter damit	 hinab	hinab-2
1028	2030	DRAG	hurcol	  schleppen;  verschleppen;   verunglimpfen;   herumtragen	  schleppen	schleppen-3
1029	2030	DRAG	húz	  sich sträuben;   zanken; zerren;   zerren;  Zug;   Überzug;  schleppen;   ziehen;   ziehen;  entfernen;    spannen;  spannen 〈Strang;  Draht usw〉;   anziehen;   anziehen;   ziehend befördern;   in die Länge ziehen;   beziehen 〈Einkommen〉;  überziehen;   ziehen 〈Luftzug〉;   auf einem Streichinstrument spielen;   bewegen 〈auf einer Fläche〉;  eine Linie ziehen;   jmdm einen Schlag versetzen;   aufziehen;  aufziehen;  aufstocken 〈Bauwesen〉;   jmdm zugeneigt sein;  zu jmdm halten;   herausheben;  eine Ziehung vornehmen;   ziehen 〈intrans〉;   einen Zug tun;   nekken;   Fahrt;   sich strecken;   sich strecken;   〈unbest Bed〉;   anhaltend;   Ziehen;   Zugluft;   Abzugshahn;   wachen	 schleppen	schleppen-4
1030	93	DRAW MILK	fej¹	  saugen; melken;   abdringen 〈Geld〉	melken	melken-1
1031	2374	DREAM	álom	Traum;   Schlaf;   Einschlafen 	Traum	Traum-1
1032	814	DRESS UP	öltözik	 Hülle;   Kleidung;   Ankleideraum; sich kleiden;   eine bestimmte Art Kleidung tragen;   in einen geistlichen Orden eintreten;   ankleiden;   einen charakteristischen Zug;  eine Eigenschaft annehmen;   sich verkleiden	  ankleiden	ankleiden-1
1033	1401	DRINK	iszik	 Getränk;   Getränk;   Kneipe;   Trunkenbold;   flüssig;   vor Durst; trinken;    in sich ziehen;   einsaugen;   gierig genießen;   trunksüchtig sein;   die Linie berühren;  auf die Linie fallen 〈in manchen Spielen〉;   Tränke;   Tränke;   Trinken;   Trinken;   Trinker;  ohne Trinken;   angeheitert;  betrunken;   Lösch-;   Fließpapier	trinken	trinken-1
1034	1401	DRINK	piál	 trinken	 trinken	trinken-2
1046	741	DRIVE	vezet	 leiten;   lenken;   führen;  führen;   Lenker; begleiten;  führen 〈Weg;  Leiter von etw sein;   einen  Lebenswandel führen;  führen 〈Fahrzeug〉;   etw ergeben;  Pfad usw〉;   strömendes Material leiten;   voranstehen 〈Sport〉;   Familien- 〈Name〉;   geleitet 〈Pferd〉;   Handpferd;   Leitung 〈Technik〉	  lenken	lenken-10
1054	2868	DRIVE (CATTLE)	hajt²	 bewegen;   dringen;   treiben;  antreiben;  antreiben;  sich abrackern;   Viehtreiber; in Bewegung setzen;  halten;   zu etwas bewegen;   〈Schulden〉 eintreiben;   einbringen;   〈eine Maschine〉in Betrieb halten;   〈Darminhalt;  Urin〉abführen;   fahren〈als Transitiv〉;  fahren 〈als Intransitiv〉;   sich strapazieren;  sich schinden;  állatterelő;  hajcsár;   Kutscher	  treiben	treiben-4
1055	2868	DRIVE (CATTLE)	kerget	  belästigen; treiben;  jmdm nachsetzen;   hineinzwängen;   trachten;  verfolgen;   hin und her rennen;  herumtollen;   zusammenplappern	treiben	treiben-5
1060	3748	DROP (OF A LIQUID)	csepp	Tropfen;   ein Bißchen;   Tupfen	Tropfen	Tropfen-1
1061	3748	DROP (OF A LIQUID)	cseppen	  Tropfen; 〈einmal〉 tropfen;   es fällt für ihn etw ab;   hineinfallen	  Tropfen	Tropfen-2
1062	2866	DROP (SOMETHING)	ejt	  verursachen; zu Fall bringen;  im Kampf fällen;   in einen Zustand versetzen;   fallenlassen;   aussprechen;   sieben;   bei jmdm od an etw vorbeikommen	  fallenlassen	fallenlassen-1
1063	2866	DROP (SOMETHING)	esik	  ungeschickt;   Fall;   〈in einen Zustand〉 kommen;  flehen;  Maß〉;  stürzen; fallen;  fallen;   es regnet;  liegen;   fallen lassen;   Sonnenuntergang;   befallen;  bedecken;  geraten;   geschehen;   auf die Knie fallen;   den Tod finden;  es schneit;  es hagelt usw;   jmdm zuteil werden;   〈einem irgendwie〉 schmecken;  behagen;   sein;   hineindrängen;   sich auf jmdn stürzen;   sich erbarmen;   abnehmen 〈Menge;   Kasus;   ohne Fall;   vergänglich	  fallen lassen	fallenlassen-2
1066	1398	DRY	faré ×	mulmiger;  morscher Teil des Baumes;   trocken;  holzartig;  schwer zu verschlucken;  unschmackhaft	  trocken	trocken-1
1068	1398	DRY	száraz	  mager;  zehrend 〈Krankheit〉;  dürr;   nackt; trocken;   Boden;  Festland;  Verhalten〉;  Schriftwerk;   gemütlos;  Stil〉;  ausgetrocknet;   festländisch;  hager 〈Person〉;  mager machend;   nicht durch Wasser betrieben 〈Mühle〉;  prosaisch;   trocken 〈Speise〉;  kalt 〈Kost〉;   trocken 〈Amme〉;  nicht melkbar 〈altes Muttertier〉;   nicht vollgültig 〈Gegenstand〉;  seinen Aufgaben nicht voll nachkommend 〈Person〉;  trocken 〈Person;  fad 〈Vortrag;   trocken 〈Wein〉;   trockener Teil;   Trockenes 〈Kleidung〉;   Trockenfutter	trocken	trocken-3
1069	1786	DRY UP	töpped	  runzelig werden 〈Haut〉; verdorren 〈Obst〉;   trocknen;  verschmachten;   klebenbleiben	  trocknen	trocknen-1
1070	1360	DUCK	kacsa	Ente;   haltloses Gerücht;   Note »ungenügend« 〈in der Schülerspr〉;   Harngefäß für Kranke;   flaches Steinchen auf eine gewisse Art auf die Wasseroberfläche werfen	Ente	Ente-1
1071	1360	DUCK	réce	Ente	Ente	Ente-2
1074	2	DUST	por	Staub;   Schießpulver;   Pulver 〈Arznei;  Reinigungsmittel usw〉;   Staubhülle 〈des Toten〉;   Überlebtheit;  Verstaubtheit;   Streusand;   Staubgefäß 〈Bot〉;   Klopfer 〈Stange;  Städler〉	Staub	Staub-3
1075	363	DWELL (LIVE, RESIDE)	él¹	 Nahrung;  gebrauchen;  gebrauchen;   Amme;   Amme; leben; leben;   sich nähren;   sich nähren;  sich erhalten;  sich erhalten;   benützen;   benützen;   mit jemandem 〈dauernd〉zusammen sein;  mit jemandem zusammen wohnen;   irgendein Leben führen;  irgendwelchem Zustand sein;   in dauerndem Geschlechtsverhältnis leben;  in ehelichem Verhältnis leben;   sich aufhalten;  wohnen;  wohnen;   Lebensmittel;   Lebensmittel;   Lebensmittel;  Lebensmittel;   Lebensmittel;  élet;  használat;  használat;   Lebendige;   Lebendige;   életmód;   Leben;   Leben;   Leben;   Leben;  megélhetés;   Unterhalt;   Unterhalt;  Fortkommen;  Fortkommen;   Getreide;   Getreide;  ház és udvar;  belsőség;   nähren;   nähren;  beleben;  beleben;  valaminek a használatára késztet;   hochleben lassen;   hochleben lassen;   Lebens-;   Lebens-;   bejahrt werden;   bejahrt werden;   bejahrt werden;   bejahrt werden;   lebhaft werden;   lebhaft werden;  erstarken;  erstarken;   genießbar;   genießbar;  brauchbar;  brauchbar;  életrevaló;  életképes;  táplál;   Hefe;   Hefe;   sich fristen;   sich fristen;  valamiből él;   schmarotzen;   schmarotzen;  Zehrung;  Zehrung;  élvezet;   Erlebnis;   Erlebnis;   lebenslang ;   lebenslang;   mit jmdm zusammenleben;  bei jmdm leben;    Leben führen;  sich  befinden;   mit jmdm  leben;   verweilen;  Broterwerb	 wohnen	wohnen-1
1079	157	DYE	fest	  hübsch; färben;  bemalen;  anstreichen;   malen 〈Bild〉;   schminken;  färben 〈Haar〉;   schildern;  darstellen;   abfärben;   aussehen;   färber;   Kunstmaler;   Anstreicher;   die Malerei betreffend	färben	farben-1
1080	1905	EAGLE	sas	 Kerbe;  Haken;   Nagel; Adler;   eingekerbter Balken;   Splint	Adler	Adler-1
1081	1247	EAR	fül	  Alkoven;   Ohrfeige; Ohr;  Ohrmuschel;   Henkel;  Nische;  Versteck;   eingeknickte Ecke einer Seite;  Klappe 〈des Buchumschlages〉;   Langohr 〈Hase〉;   Nachricht	Ohr	Ohr-2
1083	1228	EARTH (SOIL)	föld	  Lanmann;  Land; Erde;  Boden;   Erdkugel;   Acker;   Tonerde;   Festland;   Grundfarbe eines Webstoffes;   über kultivierbares Land verfügend;   Erde transportieren;   erden	Erde	Erde-1
1084	1228	EARTH (SOIL)	rög	Scholle;   Erde;  Boden; anhaften;   Klumpen;   festsitzen	  Erde	Erde-2
1085	1877	EAST	kelet¹	Osten;  Ost;   Orient;  Morgenland	Osten	Osten-1
1088	1336	EAT	eszik	 Proviant;  Appetit; essen;   Speisesaal;  brennen;   Hunger;   Speise;   aufzehren;   〈an jmdm od etw〉 zehren;  zerfressen;   beißen;   Speisen;   Speisen;   jmdm zu essen geben;  füttern;   vergiften;   vergiften;   eingeben;   Speise enthaltend;  zum Speisen gebräuchlich;   eßlustig;  evés nélkül;  éhgyomorra;   appetitlos;   ungenießbar;  Kantine	essen	essen-2
1090	1336	EAT	kajál¹	essen;   glauben;  jmdm etw abkaufen	essen	essen-4
1092	863	EDGE	él²	Spitze;  Spitze;  Kante;   Bergspitze;  Gebirgsausläufer;   Spitze einer Stichwaffe od eines Werkzeuges;  Schärfe 〈auch abstr〉;   Schlachtlinie;  geordnetes Heer;  erste Stelle;   kantig;   scharf;  spitz	 Kante	Kante-1
1094	863	EDGE	perem	 Grenze;  Kante;   Falte; Franse;   Rand;   Rand;   Binde;   Art Gebäck; Verbrämung;  Besatz am Kleid;  Ufersaum;  Walaum;   verbrämt	 Kante	Kante-3
1097	744	EGG	mony ×	  Penis;   männlich;   Sperma;   Ei; Hoden;   Schwengel der Glocke;  mit großen Hoden 〈Tier〉	  Ei	Ei-2
1099	1705	EIGHT	nyolc	acht;   achte;   Achtel	acht	acht-1
1100	1722	EIGHTY	nyolcvan	achtzig	achtzig	achtzig-1
1101	981	ELBOW	könyök	Biegung;  Kniestück;  Winkelstück;   Ellbogenteil einer Kleidung;  Panzerung;   Ellbogen;   Ellbogen;   Elle 〈als Lägenmaß〉;   Art Liege;   Art Brüstung;  Armstütze;   eine Elle lang	  Ellbogen	Ellbogen-1
1103	2936	ELEVATION	gorond ×	 Hügel; Anhöhe;  Halbinsel im Sumpf;   Feldrain	Anhöhe	Anhohe-1
1105	1772	ELK	jávorszarvas	Elch;  Elentier	Elch	Elch-1
1118	1624	EMPTY	sivár	 Wind〉;   gemein;   rauh;  leer;   unbarmherzig; wüst;   freudlos;  Wüste;   Öde;  öde 〈Gegend〉;  unedel;   apathisch;  kalt 〈Wetter	 leer	leer-9
1126	743	END (OF TIME)	slussz	  Ende; Taille;  Schluß 〈als Präd〉;   Schlußstein;   Art Schweinefleisch zwischen Rippenstück und Keule	  Ende	Ende-8
1130	743	END (OF TIME)	vég	 Maß;   bestimmt;   erledigen;   Ende;   Zweck;   beschließen;   Beschluß;   Schicksal;  Bedingung;   Schluß;  Schluß;   Entschluß;  Rand;   Weise;  Tod;   enden;   endlich; räumliches Ende;   Stück 〈Stoff〉;  zeitliches Ende;  Ende des Lebens;   Reichsgrenze Ungarns während der Türkenherrschaft;   sich am Ende befindend;  am Ende liegend;  beenden;   endlos;   schicksalhaft;   unendlich;   das Unendliche;   endgültig	  Ende	Ende-12
1132	833	ENDURE	bír	  unterwerfen;   ertragen; besitzen;  haben;   beherrschen;   verschaffen;   veranlassen;   zu etw fähig sein;  imstande sein;   Besitzer	  ertragen	ertragen-2
1134	833	ENDURE	tűr¹	 ertragen;   sich zurückhalten; dulden;   Geduld;   jmdn leiden;   geduldig sein;   schädliche Erscheinungen gelten lasse	 ertragen	ertragen-4
1136	1358	ENEMY	ellen	  für;  Kampf;   aus;   Streit;   Widersetzlichkeit;   widersprechen;   entgegen; gegenüber;   gegen;   gegen;   gegen;   gegen;  wider;  wider;  wider;  zu 〈als Richtung〉;   gegenüber 〈in abstr Bed〉;   von gegenüber;  von entgegengesetzter Richtung;   abweichend;   gegnerisch;  feindlich;   Feind;   Entgegengesetztes;   Entgegengesetztes;  szemben levő;   Schirm;   Hindernis;   Opposition 〈polit〉;   trotz;   trotz	  Feind	Feind-1
1142	1615	ESCAPE	szökik	 tanzen;  hüpfen;   fliehen;  flüchten;   hervorsprießen 〈Bart〉; springen;   springen;  sich unbemerkt hin- bzw wegbegeben;   ausbrechen 〈intrans〉;  ausfallen;   hervorspritzen;  〈in Halme;  Ähren usw〉 schießen;   schießen 〈Blut〉	 flüchten	fluchten-4
1147	1629	EVENING	est	Abend;   Nachtviole	Abend	Abend-1
1148	1629	EVENING	vecsernye	  Abend; Vesper;  Vesperzeit	  Abend	Abend-2
1149	2999	EVERYWHERE	miá ∆	 meinetwegen;   durch;  wegen;   irgendwo; infolge;  dich usw;  überall;   durch mich;  deinetwegen usw	 überall	uberall-1
1150	2999	EVERYWHERE	szanaszét	 durcheinander;   überall; auseinander	  überall	uberall-2
1152	45	EVIL	bal	  falsch;   böse; linke;   die linke Seite;   die linke Hand;   Linkshänder	  böse	bose-2
1156	45	EVIL	hitvány	  niederträchtig;   minderwertig;   töricht;  böse; mager;   schlecht;  erbärmlich;  gebrechlich;  schwächlich;   fehlbar	 böse	bose-6
1160	45	EVIL	ördög	 Hexe;   Zauberer; Teufel;  Versucher;  der Böse;   〈als Fluch〉;   〈als Teil versch Pflanzennamen〉;   bedauernswerter Mensch;   vom Teufel besessen;   mit dem Teufel im Bunde stehend;  einen Zauber anwendend	 der Böse	derBose-1
1161	1426	EXPENSIVE	drága	  wertvoll; sehr lieb;  geliebt;  teuer;  kostspielig;    Teuerung;   sehr liebe;  geliebte Person;  schätzen;   zu teuer finden	 teuer	teuer-1
1163	1248	EYE	szem	  Ansicht;   unverschämt;   Beere;   Glied;  frech;  Rücksicht;   besehen;   Korn;   Blick;   Punkt;   Masche;   auslesen; Auge;  Beurteilung;   ein Körnchen 〈als Maß〉;   augenförmige Verzierung;  Werteinheit 〈auf Spielkarten;  Würfeln usw〉;   Körner hervorbringen;   Körner hervorbringen;   augenlos;  besichtigen;  sortieren;   großäugig;   mit jmdm äugeln;  kokettieren;   Auswahl	Auge	Auge-1
1164	1560	FACE	kép¹	  Bild;   Bild;  Gestalt;  Vertreter; Form;   Schein;   Sinnbild;   Ähnlichkeit;  Vorstellung;   Erscheinung;   Redebild;  Bildnis;   Gesicht;  Miene;   Standbild;  Biläule;  Ebenbild;   Vertretung;   Genrebild;  Auftritt 〈im Theater〉	  Gesicht	Gesicht-1
1165	1560	FACE	orca	  Kinn; Gesicht;  Gesicht;   Äußeres;   Wange;   Antlitz	Gesicht	Gesicht-2
1172	2937	FAIRY TALE	mese	  Märchen;   überflüssiges Gerede; Parabel;  Ausrede;   Erfindung;  Rätsel;  Fabel;   Handlung 〈in einem literarischen Werk〉	  Märchen	Marchen-3
1174	1280	FALL	bukik	 stürzen;   fallen; tauchen;   eine Niederlage erleiden;   auf etw stoßen;   die führende Rolle verlieren;   fallieren;   zu Fall kommen;   durchfallen 〈in einem Unterrichtsfach〉;   der Polizei in die Hände fallen;   erpicht sein	  fallen	fallen-2
1177	1280	FALL	hanyatlik	  stürzen;  fallen;  sich neigen; sich kehren;   verfallen;  sich zurückentwickeln;   sinken 〈Sonne〉	 fallen	fallen-5
1183	3005	FAMILIAR	notórius	 berüchtigt; eines schweren Verbrechens schuldig;   bekannt;   unverbesserlich	  bekannt	bekannt-1
1184	194	FAMILY	család	zwangsgesiedelter fremder Gefangener;   Mitglied des Gesindes;  Diener;   Familie;   Familie 〈Zool;  Bot〉;   Kind als Mitglied einer Familie;   Hereinnahme von As;  König und Ober der Trumpffarbe 〈im Klabrias〉	  Familie	Familie-1
1186	194	FAMILY	família	Familie;  Geschlecht;   Familienmitglied	Familie	Familie-3
1191	1406	FAR	messze	  weit;   lange; weit 〈von einem Zeitpunkt〉;   weithin;  fern 〈räumlich〉;   bei weitem;   entfernt 〈räumlich〉;   ausgedehnt;   fern;  entfernt 〈von einem Zeitpunkt〉;   Ferne	  fern	fern-1
1192	1406	FAR	távol	 fremd;   weit;   fern;   Ferne;  Weite; entfernt;  weit 〈auch abstr〉;   von fern;   fernhin;   vor bzw nach langer Zeit	  fern	fern-2
1195	1279	FAT (OBESE)	kövér	dick;   groß;  fett;   fett;  feist;   dickblättrig;  sukkulent;   fruchtbar;  fett 〈Boden〉;  nahrhaft 〈Speise〉;  reichlich 〈Mahlzeit〉;   einträglich;  sich lohnend;  voll 〈Gegenstand〉;   fett 〈Druckschrift〉;   fettes Opfertier;  reichliches Opfergeschenk;   Fett;  Schmalz;   fett machen;   als dick sehen lassen	dick	dick-4
1197	1279	FAT (OBESE)	duci	  Note »ungenügend«; fett;  stämmig;   dralles Bauernmädchen;   Brötchen	fett	fett-1
1205	323	FAT (ORGANIC SUBSTANCE)	zsír	Frucht;   Kraft;   Fett;   Saft;  Feuchtigkeit;  Ertrag; Arbeitsfähigkeit;   As od Zehner in einer Art Kartenspiel;   einfetten;   hohe Karten in den Stich geben;  Art Kartenspiel spielen	  Fett	Fett-5
1206	1217	FATHER	apa	Vater;   bejahrter Mann;   bejahrter Mann;   Zunftmeister;   Schwiegervater;   geistiger Urheber;   allverehrter Mann;   Ahn;  Väterchen;   Väterchen;   Väterchen;   Väterchen	Vater	Vater-1
1210	1217	FATHER	fater	  Vater;  Vorsteher; Beschützer;   älterer Mann;  Alte 〈auch als Anrede〉	  Vater	Vater-5
1216	1419	FEAR (BE AFRAID)	fél¹	  furchtsam; sich fürchten;   sich fürchten;   sich ängstigen;   jmdn fürchtend verehren;   sich erschrecken;   furchtbar;   ängstlich;   eifersüchtig	sich fürchten	sichfurchten-3
1220	1419	FEAR (BE AFRAID)	tart	 behaupten;   aushalten;   anhalten;   Träger;  stützen;  hindern;   hin-;  benützen;  versorgen;    sein;  her-;  befestigen;   fassen;  Wette〉;  bewirten;  halten;  halten;  verrichten;   für etw halten;   verbinden;  Pflicht;   sich widersetzen;   beanspruchen;   unterhalten;  Reserve;  einschätzen;  erleiden;  amten;   bei sich behalten;  aufbewahren;  aufbewahren;  in Erinnerung behalten usw;   sich an etw halten od nach etw richten;   jmdm einen Zustand sichern;  etw irgendwo lagern;   zur Lagerung dienen;   vollführen;  veranstalten;  vorhalten 〈wenden;  zeigen usw〉;   es mit jmdm halten;  zu etw gehören;   nach od in Richtung auf etw gehen;  fahren usw;  bis od an etw gelangt sein;   in Dienst halten;  züchten;   sich enthalten;  sich einer Sache enthalten;   sich bis etw erstrecken;  bis etw dauern;  dauern;   fürchten;  in Ehren halten;   zu bleiben anhalten;  verpflichten 〈Schwur;   im Auge behalten;  ausdauern;   Haltender;  Tragender;  Halterung;   Beobachtung;   Behinderung;   Ersatz	  fürchten	furchten-1
1224	2037	FEBRUARY	február	Februar	Februar	Februar-1
1227	739	FEED	táplál	  sich erhalten;  füttern;  Gedanken〉; speisen;  ernähren;   jmdn unterstützen;   hegen 〈Gefühl;   speisen 〈mit Betriebsenergie〉	 füttern	futtern-3
1230	1690	FENCE	gát	  Graben;   Furt;  Zaun; Staudamm;   Hag;  Hecke;  Umfriedung;   Aufschüttung;  Damm durch schwer passierbares Gelände;   Hindernis 〈abstr〉;   Hindernis 〈abstr〉;   Deich;   Stück zwischen After und Geschlechtsteilen;   Hürde 〈in versch Sportarten〉;   Brücke;   Lantraße;  befestigte Fahrbahn;   dämmen;   verhindern;   Leitdamm;   Hemmung	 Zaun	Zaun-2
1237	1690	FENCE	rigya ∆	  Knospe; Sproß;   zaun;   abschneiden;  junger Trieb;   Schneise;   Kätzchen 〈Bot〉	  zaun	zaun-2
1240	1717	FIFTY	ötven	  Art Steuer; fünfzig;   Fünfzigst	fünfzig	funfzig-1
1244	2006	FILL	tölt	  Damm;   Damm;   Rache;  Deich;  Deich;   gießen;   ergänzen;  laden;   mit Erde;   füllen;   füllen;   Wasseruhr; Damm aufschütten;  Kies beschütten;   erfüllen;   ein Gewehr laden;    aufwenden;  zubringen;  farcieren;  Zorn auslassen;  Freude an etw haben;  vervollständigen;   Elektrizität akkumulieren;   Erfüllung;   Wein zum Auffüllen eines Fasses;   Füllung für Geflügel;  Pasteten usw	  füllen	fullen-2
1247	719	FIND	lel	  Krankheit;   krank;   erkranken;   treffen;   suchen;   Fieberfrost; finden;   Erfindung;   das Fieber schüttelt einen;  jmdm geschehen;  um etw bitten;   Finden;   Befund 〈Med〉;   Fund 〈Archäologie〉	finden	finden-2
1248	719	FIND	talál	 gewinnen;   antreffen;   sich befinden;   findig;  daß ...;   treffen;  passen;   gelangen;   erfinden;   erachten;   finden;   ersuchen;   stimmen; vorfinden;  begegnen;    begegnen;   dazukommen;   es könnte sich ergeben;   in der Art eines Rätsels	  finden	finden-3
1253	2157	FINE OR THIN	fájin ×	 fein; ausgezeichnet	 fein	fein-3
1258	2157	FINE OR THIN	sája †	 Stoff〉; Art Wollstoff;  fein;   fest 〈Gewebe	 fein	fein-8
1259	1303	FINGER	ujj¹	  Handfessel;   Handfessel; Finger;  Zehe;   Fingerbreit 〈Maßeinheit〉;   Hanchuhfinger;   Fingerchen	Finger	Finger-1
1263	1766	FINISH	vég	 Maß;   bestimmt;   erledigen;   Ende;   Zweck;   beschließen;   Beschluß;   Schicksal;  Bedingung;   Schluß;  Schluß;   Entschluß;  Rand;   Weise;  Tod;   enden;   endlich; räumliches Ende;   Stück 〈Stoff〉;  zeitliches Ende;  Ende des Lebens;   Reichsgrenze Ungarns während der Türkenherrschaft;   sich am Ende befindend;  am Ende liegend;  beenden;   endlos;   schicksalhaft;   unendlich;   das Unendliche;   endgültig	 beenden	beenden-1
1265	221	FIRE	tűz²	 Kamin;   Glanz;   Herd;   antreiben;  heizen; Feuer;   heiß werden;  Begeisterung;  Glut;  Flamme;   schießen;  Schnelligkeit;   Heftigkeit;   Feuerbrunst;   brennender Schmerz;  hohes Fieber;  Entzündung;   Abfeuern von Feuerwaffen 〈auch als Befehl〉;  Beschuß aus Feuerwaffen;   hoher Alkoholgehalt;   brennend;   leidenschaftlich;  anregend;  aufhetzen;   läufig sein 〈Hündin〉;   Brennstoff	Feuer	Feuer-2
1267	728	FIRST	első	erster;   erster Tag des Monats	erster	erster-2
1268	227	FISH	hal²	Fisch;   unerfahrener Mensch;  Anfänger;   Fischer;   fischen	Fisch	Fisch-1
1271	493	FIVE	öt	fünf;   fünfter;   der fünfte Teil;   Quinte;   Fünfer-;   Quintett;   Schulnote Fünf	fünf	funf-1
1273	1633	FLAT	róna¹ ∆	flach;   Ebene;  eben	flach	flach-2
1277	1633	FLAT	sík	  Kampfplatz;  glatt;   Ebene;  Überzug;   eben;  Flachland;  schlüpfrig;   Schicht;   platt; glitschrig;   gangbar;   Ebene als geometrische Form	  platt	platt-3
1281	956	FLEE	menekül	fliehen;   Flüchtling;  sich retten;  sich in od zu etw flüchten;   sich loszumachen;  fernzuhalten suchen	fliehen	fliehen-4
1284	956	FLEE	szökik	 tanzen;  hüpfen;   fliehen;  flüchten;   hervorsprießen 〈Bart〉; springen;   springen;  sich unbemerkt hin- bzw wegbegeben;   ausbrechen 〈intrans〉;  ausfallen;   hervorspritzen;  〈in Halme;  Ähren usw〉 schießen;   schießen 〈Blut〉	  fliehen	fliehen-7
1288	2939	FLOCK (OF ANIMALS)	csorda	Herde;   Haufen;   Menschengruppe;  bes Viehherde;   Horde	Herde	Herde-4
1290	2939	FLOCK (OF ANIMALS)	nyáj	Herde;  Gemeinde;  bes Schafherde;   größere;  meist willehose Menschengruppe;  Kirchenvolk	Herde	Herde-6
1293	1632	FLOOR	palló	  Fußboden;   Dachboden; einfache Brücke;  Steg;   dickes Brett;  Bohle;   Steg bei Streichinstrumenten;  bei Klavier und Zither	  Fußboden	Fuboden-2
1297	1632	FLOOR	talap ∆	 Fußboden;   Boden;   Grundlage; Fußgestell;  Postament;   Sohle	 Fußboden	Fuboden-6
1298	2003	FLOW	folyik	  Bett;  Graben;  Efeu;   brünstig sein;   Kurier;   entstehen;   Fluß;   Fluß;  folgen; fließen;   fließen;  schwimmen 〈Schiff〉;  fahren 〈im Boot〉;  zirkulieren;   gehen;  laufen;   laufen;  laufen;   rinnen;  ausgestreut od ausgeschüttet werden;   durchdringen;   vergehen 〈Zeit〉;   die Worte fließen ihm od ihr aus dem Munde;   hinaufklettern;   löschen 〈Papier〉;  überlaufen 〈Tinte〉;   vonstatten gehen;   lecken 〈Gefäß〉;   in Umlauf sein 〈Geld〉;  entsprießen;  hervorgehen;   sich verwischen;   schnell schreibende Person;  Bote;   vor jmdn treten;   Ausfluß;   lauf;  lauf;  Gang 〈auch abstr〉;  begehren;   fließen lassen;  lecken;   schnell herumgehen;   gang;  Kurs;   Wasserabfluß;   Flüssigkeit;   Flüssigkeit;   Folge;   Folge;   Kletterpflanze;   fort und fort	fließen	flieen-1
1303	239	FLOWER	virág	 Blüte;   das Beste;   Kahm;   blühen;  Blume; blühende Pflanze;   schönes Mädchen;  Liebchen 〈als Anrede〉;  schönster Zustand;   Blütenmuster;   weißer Fleck 〈am Nagel;  an der Haut;  am Haar der Tiere〉;   mit Blumen zieren	 Blume	Blume-2
1304	1504	FLY (INSECT)	légy	  verwirrt; Fliege;   Spitzel;   Fliege 〈Korn am Gewehr〉;   voller Fliegen	Fliege	Fliege-1
1307	1441	FLY (MOVE THROUGH AIR)	repül	fliegen;   sich schnell fortbewegen;   Flieger;   Flugzeug	fliegen	fliegen-3
1308	1441	FLY (MOVE THROUGH AIR)	száll	 aus-;   sinken;   ein-;   befallen;   fliegen;  sich legen;  besetzen;  rücken;   schwinden;  sich widersetzen;   jmdm zufallen;   Westen;   Belagerung; sich setzen;  sich herunterlassen;   sich begeben;  ziehen 〈Heer〉;  aufsteigen;  absteigen;   einkehren;  einziehen;   belagern;  fallen 〈Wasserhöhe〉;  sich ablagern 〈Satz〉;   den Kampf aufnehmen;  leszállása közben;   Logiergast;   Angehöriger einer Besatzungsarmee;   Überkommen;  Besetzung;   Sichniederlassen;  apránként aláereszkedik	  fliegen	fliegen-4
1309	1768	FOAM	hab	  Bimsstein; Welle;  Wellenschlag;   Schaum;   Schaum;  hullámzó;  tétovázik;  tajtékzik;  habossá válik;  hullámokon hányódik;  habot csinál;  leszed;  habbal beken;  díszít	  Schaum	Schaum-1
