Grapheme	IPA
ferde	f ɛ r d ɛ
féreg	f eː r ɛ ɡ
férfi	f eː r f i
fertő	f ɛ r t øː
fest	f ɛ ʃ t
fésű	f eː ʃ yː
fészek	f eː s ɛ k
fészer	f eː s ɛ r
feszes	f ɛ s ɛ ʃ
fiatal	f i ɒ t ɒ l
figura	f i ɡ u r ɒ
fika	f i k ɒ
fikarc	f i k ɒ r t͡s
fikusz	f i k u s
filagória	f i l ɒ ɡ oː r i ɒ
filigrán	f i l i ɡ r aː n
finálé	f i n aː l eː
fincol	f i n t͡s o l
findzsa	f i n d͡ʒ ɒ
finom	f i n o m
fiók	f i oː k
firkál	f i r k aː l
fírol	f iː r o l
fityeg	f i c ɛ ɡ
fiú	f i uː
fivér	f i v eː r
fix	f i k s
fizet	f i z ɛ t
fizikus	f i z i k u ʃ
flamingó	f l ɒ m i n ɡ oː
flaska	f l ɒ ʃ k ɒ
flastrom	f l ɒ ʃ t r o m
flekk	f l ɛ kː
flóta	f l oː t ɒ
flott	f l o tː
flörtöl	f l ø r t ø l
fodor	f o d o r
fog	f o ɡ
fogad	f o ɡ ɒ d
fogamzik	f o ɡ ɒ m z i k
fogan	f o ɡ ɒ n
foglal	f o ɡ l ɒ l
fogoly	f o ɡ o j
fogy	f o ɟ
fojt	f o j t
fok	f o k
fóka	f oː k ɒ
fokos	f o k o ʃ
fókusz	f oː k u s
folt	f o l t
folyik	f o j i k
folyosó	f o j o ʃ oː
folytán	f o j t aː n
folytat	f o j t ɒ t
fon	f o n
fonák	f o n aː k
fondor	f o n d o r
font	f o n t
fordít	f o r d iː t
forgószél	f o r ɡ oː s eː l
forma	f o r m ɒ
formális	f o r m aː l i ʃ
forr	f o rː
forrás	f o rː aː ʃ
forraszt	f o rː ɒ s t
forsz	f o r s
fortyan	f o r c ɒ n
fő	f øː
födém	f ø d eː m
föl	f ø l
föld	f ø l d
fölösleg	f ø l ø ʃ l ɛ ɡ
fölül	f ø l y l
fölé	f ø l eː
főnök	f øː n ø k
förgeteg	f ø r ɡ ɛ t ɛ ɡ
fösvény	f ø ʃ v eː ɲ
föveny	f ø v ɛ ɲ
frankó	f r ɒ n k oː
fráter	f r aː t ɛ r
fregoli	f r ɛ ɡ o l i
friss	f r i ʃː
fröcsög	f r ø t͡ʃ ø ɡ
früstök	f r y ʃ t ø k
fúj	f uː j
fukar	f u k ɒ r
fúl	f uː l
fundál	f u n d aː l
funkció	f u n k t͡s i oː
fúr	f uː r
furcsa	f u r t͡ʃ ɒ
furfang	f u r f ɒ n ɡ
furmány	f u r m aː ɲ
furt	f u r t
furulya	f u r u j ɒ
fuszulyka	f u s u j k ɒ
fut	f u t
futa	f u t ɒ
fuvar	f u v ɒ r
fuvola	f u v o l ɒ
fű	f yː
füge	f y ɡ ɛ
függ	f y ɡː
fül	f y l
fülemüle	f y l ɛ m y l ɛ
fűrész	f yː r eː s
füröszt	f y r ø s t
füst	f y ʃ t
fütyül	f y c y l
fütty	f y cː
fűz	f yː z
gabona	ɡ ɒ b o n ɒ
gádor	ɡ aː d o r
gajdol	ɡ ɒ j d o l
galacsin	ɡ ɒ l ɒ t͡ʃ i n
galád	ɡ ɒ l aː d
galamb	ɡ ɒ l ɒ m b
gáláns	ɡ aː l aː n ʃ
galéria	ɡ ɒ l eː r i ɒ
gallér	ɡ ɒ lː eː r
gally	ɡ ɒ jː
gamó	ɡ ɒ m oː
gáncs	ɡ aː n t͡ʃ
gané	ɡ ɒ n eː
gangos	ɡ ɒ n ɡ o ʃ
gányol	ɡ aː ɲ o l
garaboly	ɡ ɒ r ɒ b o j
garabonciás	ɡ ɒ r ɒ b o n t͡s i aː ʃ
garat	ɡ ɒ r ɒ t
gardíroz	ɡ ɒ r d iː r o z
gárgya	ɡ aː r ɟ ɒ
garmada	ɡ ɒ r m ɒ d ɒ
garzon	ɡ ɒ r z o n
gát	ɡ aː t
gaz	ɡ ɒ z
gáz	ɡ aː z
gazda	ɡ ɒ z d ɒ
gazdag	ɡ ɒ z d ɒ ɡ
gazella	ɡ ɒ z ɛ lː ɒ
gazsulíroz	ɡ ɒ ʒ u l iː r o z
gebed	ɡ ɛ b ɛ d
gég	ɡ eː ɡ
gém	ɡ eː m
generáció	ɡ ɛ n ɛ r aː t͡s i oː
géniusz	ɡ eː n i u s
genyett	ɡ ɛ ɲ ɛ tː
gercsa	ɡ ɛ r t͡ʃ ɒ
gereben	ɡ ɛ r ɛ b ɛ n
gereblye	ɡ ɛ r ɛ b j ɛ
gerezd	ɡ ɛ r ɛ z d
gergelice	ɡ ɛ r ɡ ɛ l i t͡s ɛ
gerinc	ɡ ɛ r i n t͡s
gernye	ɡ ɛ r ɲ ɛ
gida	ɡ i d ɒ
gikszer	ɡ i k s ɛ r
giliszta	ɡ i l i s t ɒ
girbic	ɡ i r b i t͡s
gitár	ɡ i t aː r
góc	ɡ oː t͡s
godolya	ɡ o d o j ɒ
gólya	ɡ oː j ɒ
golyó	ɡ o j oː
golyva	ɡ o j v ɒ
gomb	ɡ o m b
gomba	ɡ o m b ɒ
gombolyag	ɡ o m b o j ɒ ɡ
gomolyít	ɡ o m o j iː t
gond	ɡ o n d
gondol	ɡ o n d o l
gonosz	ɡ o n o s
gór	ɡ oː r
gordon	ɡ o r d o n
góré	ɡ oː r eː
goromba	ɡ o r o m b ɒ
gorond	ɡ o r o n d
gót	ɡ oː t
göb	ɡ ø b
gödény	ɡ ø d eː ɲ
gömb	ɡ ø m b
gömböc	ɡ ø m b ø t͡s
gömbölyű	ɡ ø m b ø j yː
göngyöleg	ɡ ø n ɟ ø l ɛ ɡ
görbe	ɡ ø r b ɛ
görcs	ɡ ø r t͡ʃ
görl	ɡ ø r l
görög	ɡ ø r ø ɡ
grabanc	ɡ r ɒ b ɒ n t͡s
grádics	ɡ r aː d i t͡ʃ
gránátalma	ɡ r aː n aː t ɒ l m ɒ
gránic	ɡ r aː n i t͡s
guba	ɡ u b ɒ
guberál	ɡ u b ɛ r aː l
gubó	ɡ u b oː
gugyi	ɡ u ɟ i
gúnya	ɡ uː ɲ ɒ
gurtni	ɡ u r t n i
gusa	ɡ u ʃ ɒ
gusztus	ɡ u s t u ʃ
gügye	ɡ y ɟ ɛ
güzü	ɡ y z y
gyagya	ɟ ɒ ɟ ɒ
gyak	ɟ ɒ k
gyakran	ɟ ɒ k r ɒ n
gyalog	ɟ ɒ l o ɡ
gyalu	ɟ ɒ l u
gyapot	ɟ ɒ p o t
gyarló	ɟ ɒ r l oː
gyárt	ɟ aː r t
gyász	ɟ aː s
gyáva	ɟ aː v ɒ
gyékény	ɟ eː k eː ɲ
gyenge	ɟ ɛ n ɡ ɛ
gyér	ɟ eː r
gyermek	ɟ ɛ r m ɛ k
gyertya	ɟ ɛ r c ɒ
gyík	ɟ iː k
gyilkos	ɟ i l k o ʃ
gyógyul	ɟ oː ɟ u l
gyónik	ɟ oː n i k
gyors	ɟ o r ʃ
gyóta	ɟ oː t ɒ
gyökér	ɟ ø k eː r
gyökint	ɟ ø k i n t
gyömbér	ɟ ø m b eː r
gyöngy	ɟ ø n ɟ
gyöngytyúk	ɟ ø n ɟ c uː k
győz	ɟ øː z
gyújt	ɟ uː j t
gyúr	ɟ uː r
gyűlik	ɟ yː l i k
gyűlöl	ɟ yː l ø l
gyümölcs	ɟ y m ø l t͡ʃ
gyűr	ɟ yː r
ha	h ɒ
hab	h ɒ b
habar	h ɒ b ɒ r
habog	h ɒ b o ɡ
háborgat	h aː b o r ɡ ɒ t
háborít	h aː b o r iː t
háborkodik	h aː b o r k o d i k
háború	h aː b o r uː
habozik	h ɒ b o z i k
habuckol	h ɒ b u t͡s k o l
had	h ɒ d
hág	h aː ɡ
hágcsó	h aː ɡ t͡ʃ oː
hagy	h ɒ ɟ
hagyap	h ɒ ɟ ɒ p
haj	h ɒ j
háj	h aː j
hajbókol	h ɒ j b oː k o l
hajcsi	h ɒ j t͡ʃ i
hajhász	h ɒ j h aː s
hajkurász	h ɒ j k u r aː s
hajlék	h ɒ j l eː k
hajó	h ɒ j oː
hajt	h ɒ j t
hákog	h aː k o ɡ
hal	h ɒ l
hál	h aː l
halánk	h ɒ l aː n k
halk	h ɒ l k
hall	h ɒ lː
hallgat	h ɒ lː ɡ ɒ t
halmazat	h ɒ l m ɒ z ɒ t
háló	h aː l oː
halom	h ɒ l o m
halvány	h ɒ l v aː ɲ
hamar	h ɒ m ɒ r
hamis	h ɒ m i ʃ
hámoz	h aː m o z
hamu	h ɒ m u
hancsik	h ɒ n t͡ʃ i k
hanem	h ɒ n ɛ m
hang	h ɒ n ɡ
hangár	h ɒ n ɡ aː r
hangya	h ɒ n ɟ ɒ
hantíroz	h ɒ n t iː r o z
hanta	h ɒ n t ɒ
hany	h ɒ ɲ
hány	h aː ɲ
hanyatlik	h ɒ ɲ ɒ t l i k
hanyatt	h ɒ ɲ ɒ tː
hápog	h aː p o ɡ
happol	h ɒ pː o l
hapsi	h ɒ p ʃ i
harang	h ɒ r ɒ n ɡ
harap	h ɒ r ɒ p
harcol	h ɒ r t͡s o l
hárfa	h aː r f ɒ
harisnya	h ɒ r i ʃ ɲ ɒ
harkály	h ɒ r k aː j
harmat	h ɒ r m ɒ t
harminc	h ɒ r m i n t͡s
harmonika	h ɒ r m o n i k ɒ
három	h aː r o m
harzsol	h ɒ r ʒ o l
has	h ɒ ʃ
hasáb	h ɒ ʃ aː b
hasonlat	h ɒ ʃ o n l ɒ t
hasztalan	h ɒ s t ɒ l ɒ n
hat	h ɒ t
hát	h aː t
hatak	h ɒ t ɒ k
hatalom	h ɒ t ɒ l o m
hatály	h ɒ t aː j
határ	h ɒ t aː r
hatvan	h ɒ t v ɒ n
hatvány	h ɒ t v aː ɲ
haver	h ɒ v ɛ r
ház	h aː z
hazug	h ɒ z u ɡ
hazudik	h ɒ z u d i k
hebeg	h ɛ b ɛ ɡ
hébehóba	h eː b ɛ h oː b ɒ
hegy	h ɛ ɟ
héj	h eː j
helikopter	h ɛ l i k o p t ɛ r
helm	h ɛ l m
hely	h ɛ j
helyes	h ɛ j ɛ ʃ
helyett	h ɛ j ɛ tː
helyre	h ɛ j r ɛ
henceg	h ɛ n t͡s ɛ ɡ
henye	h ɛ ɲ ɛ
heon	h ɛ o n
herbatea	h ɛ r b ɒ t ɛ ɒ
hercehurcál	h ɛ r t͡s ɛ h u r t͡s aː l
here	h ɛ r ɛ
hérész	h eː r eː s
hergel	h ɛ r ɡ ɛ l
herjó	h ɛ r j oː
hernyó	h ɛ r ɲ oː
herreg	h ɛ rː ɛ ɡ
hervad	h ɛ r v ɒ d
hét	h eː t
hétfő	h eː t f øː
hetven	h ɛ t v ɛ n
hetvenkedik	h ɛ t v ɛ n k ɛ d i k
hetyeg	h ɛ c ɛ ɡ
hetyke	h ɛ c k ɛ
hevenyében	h ɛ v ɛ ɲ eː b ɛ n
hever	h ɛ v ɛ r
hézag	h eː z ɒ ɡ
hiába	h i aː b ɒ
hiányos	h i aː ɲ o ʃ
hiba	h i b ɒ
hibban	h i bː ɒ n
hideg	h i d ɛ ɡ
hidegvérű	h i d ɛ ɡ v eː r yː
hiéna	h i eː n ɒ
híg	h iː ɡ
hím	h iː m
himpér	h i m p eː r
hint	h i n t
hinta	h i n t ɒ
hír	h iː r
hirtelen	h i r t ɛ l ɛ n
história	h i ʃ t oː r i ɒ
hiszen	h i s ɛ n
hisz	h i s
hit	h i t
hitvány	h i t v aː ɲ
hitves	h i t v ɛ ʃ
hiúz	h i uː z
hivalkodik	h i v ɒ l k o d i k
hivatal	h i v ɒ t ɒ l
hízelkedik	h iː z ɛ l k ɛ d i k
hízik	h iː z i k
hód	h oː d
hogy	h o ɟ
hóka	h oː k ɒ
hokedli	h o k ɛ d l i
hol	h o l
hold	h o l d
holdá	h o l d aː
holdkóros	h o l d k oː r o ʃ
holló	h o lː oː
holmi	h o l m i
holnap	h o l n ɒ p
holott	h o l o tː
holval	h o l v ɒ l
hólyag	h oː j ɒ ɡ
holyan	h o j ɒ n
homály	h o m aː j
homlít	h o m l iː t
homlok	h o m l o k
homok	h o m o k
hón	h oː n
hónalj	h oː n ɒ l j
hónap	h oː n ɒ p
honn	h o nː
honnét	h o nː eː t
hopp	h o pː
hoppsza	h o pː s ɒ
horcog	h o r t͡s o ɡ
hord	h o r d
horgaszt	h o r ɡ ɒ s t
horgony	h o r ɡ o ɲ
horpasz	h o r p ɒ s
hortyog	h o r c o ɡ
hova	h o v ɒ
hoz	h o z
hölgy	h ø l ɟ
hőmérő	h øː m eː r øː
hömpölyödik	h ø m p ø j ø d i k
hörcsög	h ø r t͡ʃ ø ɡ
hős	h øː ʃ
húg	h uː ɡ
húgy	h uː ɟ
huhogat	h u h o ɡ ɒ t
hull	h u lː
hullám	h u lː aː m
huncut	h u n t͡s u t
huny	h u ɲ
huppan	h u pː ɒ n
húr	h uː r
hurcol	h u r t͡s o l
hurka	h u r k ɒ
hurrog	h u rː o ɡ
hurut	h u r u t
hús	h uː ʃ
húsz	h uː s
húz	h uː z
hülye	h y j ɛ
hüppög	h y pː ø ɡ
hüvely	h y v ɛ j
hüvelyk	h y v ɛ j k
hűvös	h yː v ø ʃ
ide	i d ɛ
ideg	i d ɛ ɡ
idegen	i d ɛ ɡ ɛ n
idén	i d eː n
idétlen	i d eː t l ɛ n
idéz	i d eː z
idomos	i d o m o ʃ
időjárás	i d øː j aː r aː ʃ
igaz	i ɡ ɒ z
n	n
ígér	iː ɡ eː r
igéz	i ɡ eː z
igy	i ɟ
igyól	i ɟ oː l
ihol	i h o l
ihon	i h o n
ikra	i k r ɒ
iktat	i k t ɒ t
ildomos	i l d o m o ʃ
illa	i lː ɒ
illat	i lː ɒ t
illet	i lː ɛ t
illik	i lː i k
illuminál	i lː u m i n aː l
isillusztrál	i ʃ i lː u s t r aː l
imád	i m aː d
íme	iː m ɛ
impérium	i m p eː r i u m
imponál	i m p o n aː l
impresszió	i m p r ɛ sː i oː
ín	iː n
inal	i n ɒ l
inas	i n ɒ ʃ
incifinci	i n t͡s i f i n t͡s i
ind	i n d
indít	i n d iː t
ing	i n ɡ
ingyen	i n ɟ ɛ n
inkább	i n k aː bː
innét	i nː eː t
innen	i nː ɛ n
inog	i n o ɡ
int	i n t
interpellál	i n t ɛ r p ɛ lː aː l
intéz	i n t eː z
invitál	i n v i t aː l
íny	iː ɲ
ip	i p
ír	iː r
iramik	i r ɒ m i k
iramszarvas	i r ɒ m s ɒ r v ɒ ʃ
iránt	i r aː n t
irány	i r aː ɲ
irdatlan	i r d ɒ t l ɒ n
írisz	iː r i s
iromba	i r o m b ɒ
isa	i ʃ ɒ
ismer	i ʃ m ɛ r
ismét	i ʃ m eː t
istálló	i ʃ t aː lː oː
istáp	i ʃ t aː p
isten	i ʃ t ɛ n
istráng	i ʃ t r aː n ɡ
iszap	i s ɒ p
iszonyodik	i s o ɲ o d i k
ítél	iː t eː l
itt	i tː
íz	iː z
izgat	i z ɡ ɒ t
ízik	iː z i k
izmaelita	i z m ɒ ɛ l i t ɒ
izmos	i z m o ʃ
izzad	i zː ɒ d
izzik	i zː i k
jáger	j aː ɡ ɛ r
jaguár	j ɒ ɡ u aː r
jámbor	j aː m b o r
január	j ɒ n u aː r
jár	j aː r
játék	j aː t eː k
jatt	j ɒ tː
javall	j ɒ v ɒ lː
jávorszarvas	j aː v o r s ɒ r v ɒ ʃ
jég	j eː ɡ
jegy	j ɛ ɟ
jel	j ɛ l
jelen	j ɛ l ɛ n
jelent	j ɛ l ɛ n t
jeles	j ɛ l ɛ ʃ
jelmez	j ɛ l m ɛ z
jérce	j eː r t͡s ɛ
jobb	j o bː
jog	j o ɡ
jonh	j o n h
jós	j oː ʃ
jószág	j oː s aː ɡ
józan	j oː z ɒ n
jövötény	j ø v ø t eː ɲ
juházik	j u h aː z i k
július	j uː l i u ʃ
június	j uː n i u ʃ
juss	j u ʃː
jut	j u t
kártékony	k aː r t eː k o ɲ
kártya	k aː r c ɒ
kas	k ɒ ʃ
kása	k aː ʃ ɒ
kasornya	k ɒ ʃ o r ɲ ɒ
kasza	k ɒ s ɒ
kaszinó	k ɒ s i n oː
kaszni	k ɒ s n i
katasztrófa	k ɒ t ɒ s t r oː f ɒ
katicabogár	k ɒ t i t͡s ɒ b o ɡ aː r
katlan	k ɒ t l ɒ n
katrinca	k ɒ t r i n t͡s ɒ
káva	k aː v ɒ
kavar	k ɒ v ɒ r
kaverna	k ɒ v ɛ r n ɒ
kazán	k ɒ z aː n
kába	k aː b ɒ
kabala	k ɒ b ɒ l ɒ
kabát	k ɒ b aː t
kacag	k ɒ t͡s ɒ ɡ
kacagány	k ɒ t͡s ɒ ɡ aː ɲ
kacifántos	k ɒ t͡s i f aː n t o ʃ
kacs	k ɒ t͡ʃ
kacsa	k ɒ t͡ʃ ɒ
kacsiba	k ɒ t͡ʃ i b ɒ
kacska	k ɒ t͡ʃ k ɒ
kagyló	k ɒ ɟ l oː
kahog	k ɒ h o ɡ
kaholy	k ɒ h o j
kajács	k ɒ j aː t͡ʃ
kajál	k ɒ j aː l
kaja	k ɒ j ɒ
kaján	k ɒ j aː n
kajdács	k ɒ j d aː t͡ʃ
kajdácsol	k ɒ j d aː t͡ʃ o l
kajdász	k ɒ j d aː s
kajkó	k ɒ j k oː
kajla	k ɒ j l ɒ
kajszibarack	k ɒ j s i b ɒ r ɒ t͡s k
kakál	k ɒ k aː l
kakas	k ɒ k ɒ ʃ
kákog	k aː k o ɡ
kakukk	k ɒ k u kː
kaláka	k ɒ l aː k ɒ
kalamajka	k ɒ l ɒ m ɒ j k ɒ
kalangya	k ɒ l ɒ n ɟ ɒ
kalap	k ɒ l ɒ p
kalapács	k ɒ l ɒ p aː t͡ʃ
kalapál	k ɒ l ɒ p aː l
kalász	k ɒ l aː s
kaliba	k ɒ l i b ɒ
kallantyú	k ɒ lː ɒ n c uː
kallódik	k ɒ lː oː d i k
kalmár	k ɒ l m aː r
kaloda	k ɒ l o d ɒ
kályha	k aː j h ɒ
kamatyol	k ɒ m ɒ c o l
kaméleon	k ɒ m eː l ɛ o n
kampec	k ɒ m p ɛ t͡s
kampó	k ɒ m p oː
kan	k ɒ n
kanafória	k ɒ n ɒ f oː r i ɒ
kanál	k ɒ n aː l
kancsó	k ɒ n t͡ʃ oː
kankalék	k ɒ n k ɒ l eː k
kankó	k ɒ n k oː
kanna	k ɒ nː ɒ
kantaír	k ɒ n t ɒ iː r
kántál	k aː n t aː l
kantár	k ɒ n t aː r
kantus	k ɒ n t u ʃ
kánya	k aː ɲ ɒ
kanyarít	k ɒ ɲ ɒ r iː t
kanyaró	k ɒ ɲ ɒ r oː
kap	k ɒ p
kapa	k ɒ p ɒ
kapar	k ɒ p ɒ r
kapca	k ɒ p t͡s ɒ
kápli	k aː p l i
kapta	k ɒ p t ɒ
kaptány	k ɒ p t aː ɲ
kaptat	k ɒ p t ɒ t
kapu	k ɒ p u
kapzsi	k ɒ p ʒ i
kar	k ɒ r
kár	k aː r
karafina	k ɒ r ɒ f i n ɒ
karaj	k ɒ r ɒ j
karakán	k ɒ r ɒ k aː n
karakter	k ɒ r ɒ k t ɛ r
karám	k ɒ r aː m
karattyol	k ɒ r ɒ cː o l
karcol	k ɒ r t͡s o l
karcsú	k ɒ r t͡ʃ uː
kardalészába	k ɒ r d ɒ l eː s aː b ɒ
karfiol	k ɒ r f i o l
kárhozik	k aː r h o z i k
karika	k ɒ r i k ɒ
karima	k ɒ r i m ɒ
karistol	k ɒ r i ʃ t o l
karmol	k ɒ r m o l
karó	k ɒ r oː
károg	k aː r o ɡ
kazah	k ɒ z ɒ h
képes	k eː p ɛ ʃ
képest	k eː p ɛ ʃ t
képlékeny	k eː p l eː k ɛ ɲ
képlet	k eː p l ɛ t
ekképpen	ɛ kː eː pː ɛ n
kér	k eː r
kérd	k eː r d
kerek	k ɛ r ɛ k
kerék	k ɛ r eː k
kerekedik	k ɛ r ɛ k ɛ d i k
kerékpár	k ɛ r eː k p aː r
kerep	k ɛ r ɛ p
keres	k ɛ r ɛ ʃ
kereskedik	k ɛ r ɛ ʃ k ɛ d i k
kérész	k eː r eː s
kereszt	k ɛ r ɛ s t
keresztel	k ɛ r ɛ s t ɛ l
keresztül	k ɛ r ɛ s t y l
keresztülkasul	k ɛ r ɛ s t y l k ɒ ʃ u l
kerevet	k ɛ r ɛ v ɛ t
kerge	k ɛ r ɡ ɛ
kerget	k ɛ r ɡ ɛ t
kérődzik	k eː r øː d͡z i k
kert	k ɛ r t
kerül	k ɛ r y l
kés	k eː ʃ
késa	k eː ʃ ɒ
keselyű	k ɛ ʃ ɛ j yː
keserű	k ɛ ʃ ɛ r yː
keserves	k ɛ ʃ ɛ r v ɛ ʃ
keshedt	k ɛ ʃ h ɛ d t
késik	k eː ʃ i k
keskeny	k ɛ ʃ k ɛ ɲ
kész	k eː s
készlel	k eː s l ɛ l
két	k eː t
kétely	k eː t ɛ j
kétkedik	k eː t k ɛ d i k
kétség	k eː t ʃ eː ɡ
ketyeg	k ɛ c ɛ ɡ
kevély	k ɛ v eː j
kever	k ɛ v ɛ r
kevés	k ɛ v eː ʃ
kéz	k eː z
kezd	k ɛ z d
ki	k i
kiált	k i aː l t
kecele	k ɛ t͡s ɛ l ɛ
kecske	k ɛ t͡ʃ k ɛ
kedd	k ɛ dː
kedély	k ɛ d eː j
kedig	k ɛ d i ɡ
kedv	k ɛ d v
kefe	k ɛ f ɛ
kégy	k eː ɟ
kék	k eː k
kel	k ɛ l
kelekólál	k ɛ l ɛ k oː l aː l
kelepce	k ɛ l ɛ p t͡s ɛ
kelet	k ɛ l ɛ t
keletkezik	k ɛ l ɛ t k ɛ z i k
kellemetlen	k ɛ lː ɛ m ɛ t l ɛ n
kellőközép	k ɛ lː øː k ø z eː p
kelme	k ɛ l m ɛ
kém	k eː m
kemény	k ɛ m eː ɲ
keménykötésű	k ɛ m eː ɲ k ø t eː ʃ yː
ken	k ɛ n
kén	k eː n
kenu	k ɛ n u
kény	k eː ɲ
kenyér	k ɛ ɲ eː r
kényszerít	k eː ɲ s ɛ r iː t
kép	k eː p
kicsi	k i t͡ʃ i
kicsoda	k i t͡ʃ o d ɒ
kietlen	k i ɛ t l ɛ n
kígyó	k iː ɟ oː
kikelet	k i k ɛ l ɛ t
kilenc	k i l ɛ n t͡s
kilencven	k i l ɛ n t͡s v ɛ n
kilincs	k i l i n t͡ʃ
kim	k i m
király	k i r aː j
kis	k i ʃ
kisded	k i ʃ d ɛ d
kísér	k iː ʃ eː r
kísért	k iː ʃ eː r t
kisüt	k i ʃ y t
kíván	k iː v aː n
kíváncsi	k iː v aː n t͡ʃ i
kívül	k iː v y l
klapec	k l ɒ p ɛ t͡s
klassz	k l ɒ sː
klasszikus	k l ɒ sː i k u ʃ
köpönyeg	k ø p ø ɲ ɛ ɡ
köpeny	k ø p ɛ ɲ
kör	k ø r
környék	k ø r ɲ eː k
körömzsél	k ø r ø m ʒ eː l
körtvély	k ø r t v eː j
körül	k ø r y l
kőszál	k øː s aː l
köszörű	k ø s ø r yː
köt	k ø t
kötény	k ø t eː ɲ
kötet	k ø t ɛ t
köveköl	k ø v ɛ k ø l
kövér	k ø v eː r
követ	k ø v ɛ t
követel	k ø v ɛ t ɛ l
köz	k ø z
közép	k ø z eː p
közepett	k ø z ɛ p ɛ tː
közönség	k ø z ø n ʃ eː ɡ
közös	k ø z ø ʃ
központ	k ø z p o n t
közvetetlen	k ø z v ɛ t ɛ t l ɛ n
közvetít	k ø z v ɛ t iː t
krapek	k r ɒ p ɛ k
kravall	k r ɒ v ɒ lː
kravát	k r ɒ v aː t
krém	k r eː m
kóbor	k oː b o r
koca	k o t͡s ɒ
kocog	k o t͡s o ɡ
kocsi	k o t͡ʃ i
kodácsol	k o d aː t͡ʃ o l
kofa	k o f ɒ
koffer	k o fː ɛ r
kojtol	k o j t o l
kokány	k o k aː ɲ
kolbász	k o l b aː s
kolc	k o l t͡s
koldul	k o l d u l
kolesza	k o l ɛ s ɒ
kolibri	k o l i b r i
kollokvium	k o lː o k v i u m
kolomp	k o l o m p
kolontos	k o l o n t o ʃ
koltog	k o l t o ɡ
kólya	k oː j ɒ
koma	k o m ɒ
kommenció	k o mː ɛ n t͡s i oː
komoly	k o m o j
komor	k o m o r
komót	k o m oː t
komp	k o m p
kompánia	k o m p aː n i ɒ
kompona	k o m p o n ɒ
komputer	k o m p u t ɛ r
konc	k o n t͡s
koncert	k o n t͡s ɛ r t
kondér	k o n d eː r
konferál	k o n f ɛ r aː l
kongat	k o n ɡ ɒ t
kondít	k o n d iː t
konstrukció	k o n ʃ t r u k t͡s i oː
kontinens	k o n t i n ɛ n ʃ
kontra	k o n t r ɒ
kontráz	k o n t r aː z
konty	k o n c
konvent	k o n v ɛ n t
konzervál	k o n z ɛ r v aː l
konyha	k o ɲ h ɒ
kopács	k o p aː t͡ʃ
kopáncs	k o p aː n t͡ʃ
kopár	k o p aː r
kopasz	k o p ɒ s
koperta	k o p ɛ r t ɒ
kopíroz	k o p iː r o z
kopja	k o p j ɒ
koplal	k o p l ɒ l
koponya	k o p o ɲ ɒ
kor	k o r
kór	k oː r
mekkora	m ɛ kː o r ɒ
korán	k o r aː n
korcovát	k o r t͡s o v aː t
korcsolya	k o r t͡ʃ o j ɒ
korda	k o r d ɒ
kordon	k o r d o n
korhad	k o r h ɒ d
korlát	k o r l aː t
kormány	k o r m aː ɲ
korong	k o r o n ɡ
korpa	k o r p ɒ
kos	k o ʃ
kosár	k o ʃ aː r
kóser	k oː ʃ ɛ r
kóstál	k oː ʃ t aː l
kóstol	k oː ʃ t o l
kosz	k o s
koszmó	k o s m oː
koszorú	k o s o r uː
koszt	k o s t
koszta	k o s t ɒ
kosztüm	k o s t y m
kotec	k o t ɛ t͡s
kotonoz	k o t o n o z
kotorgárt	k o t o r ɡ aː r t
kotú	k o t uː
kótyomfitty	k oː c o m f i cː
kotyor	k o c o r
kotyval	k o c v ɒ l
kovács	k o v aː t͡ʃ
kovákol	k o v aː k o l
köd	k ø d
kög	k ø ɡ
köhög	k ø h ø ɡ
köldök	k ø l d ø k
kölönc	k ø l ø n t͡s
költ	k ø l t
kőműves	k øː m yː v ɛ ʃ
könny	k ø ɲː
könyök	k ø ɲ ø k
könyörül	k ø ɲ ø r y l
könyv	k ø ɲ v
köp	k ø p
krokodil	k r o k o d i l
krónika	k r oː n i k ɒ
krumpli	k r u m p l i
kuckó	k u t͡s k oː
kugli	k u ɡ l i
kujak	k u j ɒ k
kuka	k u k ɒ
kukac	k u k ɒ t͡s
kukó	k u k oː
kukora	k u k o r ɒ
kukorica	k u k o r i t͡s ɒ
kuksol	k u k ʃ o l
kulcs	k u l t͡ʃ
kulcscsont	k u l t͡ʃ t͡ʃ o n t
kulcsol	k u l t͡ʃ o l
kullancs	k u lː ɒ n t͡ʃ
kuncog	k u n t͡s o ɡ
kunyerál	k u ɲ ɛ r aː l
kunyhó	k u ɲ h oː
kúp	k uː p
kupa	k u p ɒ
kupac	k u p ɒ t͡s
kupak	k u p ɒ k
kúrál	k uː r aː l
kurjongat	k u r j o n ɡ ɒ t
kurkász	k u r k aː s
kurrog	k u rː o ɡ
kurta	k u r t ɒ
kuruttyol	k u r u cː o l
kurva	k u r v ɒ
kussol	k u ʃː o l
kusztora	k u s t o r ɒ
kút	k uː t
kutak	k u t ɒ k
kútfő	k uː t f øː
kuttog	k u tː o ɡ
kutya	k u c ɒ
iskútya	i ʃ k uː c ɒ
kutyul	k u c u l
küld	k y l d
küllő	k y lː øː
külön	k y l ø n
különb	k y l ø n b
különben	k y l ø n b ɛ n
kürt	k y r t
kürtő	k y r t øː
küzd	k y z d
láb	l aː b
lább	l aː bː
lábbog	l aː bː o ɡ
labda	l ɒ b d ɒ
