sense	year	origin	Concepticon_ID	Concepticon_Gloss
pfeifen,  singen, zwitschern 〈Vogel〉,  pfeifen auf etw, auf jmdn,  pfeidend,  langhalsig 〈Flasche〉,  pfeifend,  Penis	1621.0		1261	SING
〈Schallw zur Nachahmung des Pfeifens〉,  Pfeifen, Pfiff,  kleine Menge 〈haupts Bier〉	1725.0		1025	WHISTLE
zusammenbinden, einfädeln,  bestecken,  mit Mieder schnüren,  knüpfen,  hinzufügen,  zum besten haben,  schön tun 〈Frauen gegenüber〉,  Gewinde,  zusammenbinden lassen,  Perlenstickerin,  Brusttuch, Mieder,  Bündel,  Heft,  sich verwickeln,  sich an etw knüpfen	1246.0		2882	ADD
Getreide,  Roggen,  Mischkorn	1405.0	Slavic	605	GRAIN
Hausflur, Vordach und der Raum darunter,  Gatter, Gitter, Lattenzaun,  Grube, Graben,  Kellerhals,  Mittelfell	1416.0	loan	2539	PIT (POTHOLE)
johlen, leiern,  sich berauschen,  schwatzen, klatschen,  plärren	1604.0	onomatopoetic	3110	CLAP
Kugel,  Pille	1560.0	unknown	1114	BULLET
fahrender Student, Gaukler,  frevelhaft, frech,  schnutzig,  geizig,  zotenreißerisch	1213.0		1774	STINGY
Taube,  mein Schatz, mein Täubchen 〈als liebkosende Anrede〉,  Kuchen in Form einer Taube,  Taubenhändler,  Taubenschlag	1138.0	Slavic	1853	DOVE
elegant, vornehm,  liederlich,  freigebig,  höflich, entgegenkommend,  verliebt, Liebes-,  Kavalier	1769.0	international word	3300	POLITE
gang,  Bildergalerie,  oberster Rang im Theater,  Familie	1711.0	international word	194	FAMILY
Art Kleidungsstück der früheren Kriegsleute,  Kragen,  Art feine Leinwand,   Lederwams,  auf dem Rücken des Kleides herabhängendes langes Tuchstück,  Hüllkelch,  Wettermantel,  Feder- od Pelzring um den Hals bei Tieren,  Banaum	1395.0	loan	2012	COLLAR
 Zweig,  Reisig	1595.0	Slavic	3222	TWIG
Haken,  Krücke,  Gezweig,  großer, unförmiger Fuß,  gallenbeinig 〈Pferd〉	1055.0	uncertain	1071	HOOK
mit dem Bein gestellter Haken,  Fehler, Gebrechen,  Geschwulst, Geschwür,  Fäule 〈von Pflanzen〉, Knoten 〈im Holz〉,  Körperfehler,  absichtliche Behinderung eines Vorhabens,  Webfehler	1495.0	internal	1293	MISTAKE
Exkrement, Kot,  Dünger,  Düngerhaufen,  Schlacke, Abfalle von Holz usw,  Ziegel aus getrocknetem Mist zum Heizen,  〈als Schimpfw〉	1138.0	Slavic	675	FAECES (EXCREMENT)
stolz, keck	1493.0	derived word	174	PROUD
verwirren, durcheinanderwerfen,  schwach, schlecht umzäunen, zurechtzimmern	1560.0	derived word	1601	WEAK
korb	1664.0	Slavic	1539	BASKET
Schwarzkünstler,  Zauber-,  schwarzkünstlerisch, ein Ungewitter hervorrufend 〈fahrender Student〉,  nörgelig, zänkisch,  kalt, unangenehm 〈Wetter〉	1519.0		1287	COLD
Mühltrichter,  Kelterkasten,  Rachen	1540.0	Slavic	3713	PHARYNX
bewahren,  ein junges Mädchen begleiten und sittlich beschützen	1790.0	German	1997	PRESERVE
Geländer, Zaun, Stütze, Rahmen 〈haupts aus Holz〉	1498.0		1690	FENCE
Haufen,  Haufen von Getreidekörnern	1621.0	Slavic	2984	HEAP
Junggeselle, Jüngling,  Kellner,  Junggesellenwohnung	1835.0	German	76	YOUNG MAN
Staudamm,  Hag, Hecke, Zaun, Umfriedung,  Aufschüttung, Damm durch schwer passierbares Gelände,  Furt,  Graben,  Hindernis 〈abstr〉,  Deich,  Stück zwischen After und Geschlechtsteilen,  Hürde 〈in versch Sportarten〉,  Brücke,  Lantraße, befestigte Fahrbahn,  dämmen,  verhindern,  Leitdamm,  Hindernis 〈abstr〉,  Hemmung	1138.0	Slavic	1690	FENCE
wald,  Unkrautpflanze,  Bodensatz,  Mist, Schmutz,  Spreu, Stroh, Heu, Afterkorn,  niederträchtig, böse,  Schmutz, Schurkerei	1200.0	uncertain	420	FOREST
Gas,  Petroleum,  Gefahr	1789.0	international word	1810	DANGER
Hauswirt,  Verwalter,  Eigentümer, Besitzer,Inhaber,  Brotgeber,  Gemahl, Mann,  Art Kartenspiel,  Landwirt,  Wirtstier, Wirtspflanze,  Reicher,  bewirten,  wirtschaftliche Arbeit betreiben,  gastfreundlich,  Landwirt,  Wirkung als Verwalter,  Wirtschaften,  Landgut,  unfreundlich,  herrenlos,  freigebig,  nützlich, rentabel	1177.0	Slavic	1554	MAN
reich,  wertvoll, teuer,  reichlich, reichhaltig,  Reiche,  reich werden,  sehr reich,  sehr reich	1372.0	Iranian	712	RICH
Gazelle	1794.0	international word	5	GAZELLE
schmeicheln, zuvorkommen	1816.0		2709	FLATTER
sterben, im Begriff sein zu verrecken,  erstarren,  sich auf die Zehen stellen	1604.0	derived word	1494	DIE
Kehlkopf	1075.0		3714	LARYNX
Reiher,  Stange, Pfahl,  Zugbrücke, Schlagbaum,  Hebezeug, Hebearm,  Teil des Gewehrs,  Brunnenschwengel	1138.0	unknown	281	POST
Geschlecht, Familie,  Generation	1789.0	Latin	194	FAMILY
Geist, Eingebung,  geflügelter Jüngling als Symbol,  immanente Geisteskraft,  Genie	1619.0	Latin	53	SPIRIT
niederträchtig, nichtswürdig 〈Person〉,  Eiter, Eiterung,  Niederträchtigkeit, Bosheit,  genny]	1456.0		1808	PUS
Wamme 〈beim Rind, Truthahn〉,  Adamsapfel,  Kropf	1786.0		802	ADAM'S APPLE
Hechel,  hechelartiges Folter-gerät,  Kamm,  Stachelpilz,  Schabmesser	1294.0	Slavic	1475	COMB
Rechen,  Hechel,  Wasserrechen zum Aufhalten des geflößten Holzes,  Greis,  magerer Mensch,  Schindmähre,  kämmen	1319.0	Slavic	2070	COMB (VERB)
Weintraube,  Wirbel,  Schnittchen, Spaltchen,  Zehe 〈desKnoblauches usw〉,  Kopfende der Balken von einem Balkenhaus od Brunnenkranz,  Dachfirst,  kreuzförmiger Haufen aus Stroh- od Getreidegarben, aus Holz	1395.0	Slavic	920	GRAPE
Kornwurm,  Wanze	1775.0	Romanian	1949	BEDBUG
Wirbelsäule,  Wirbel,  Bergkamm,  First,  Kernstück eines Gedankenganges, Werkes usw,  Rückgrat habend,  charakterfest,  Wirbeltier,  wirbellos,  ohne Rückgrat 〈abstr〉,  wirbelloses Tier	1373.0	internal	805	SPINE
vertrocknet, dürr,  hager,  klein, leicht,  Reisig,  Rückgrat	1395.0	internal	1246	SMALL
Zicke, Kitzlein,  Ziege	1211.0	derived word	1502	GOAT
Fehler, Fehlgriff,  Umschnappen der Stimme beim Singen,  Fehlstoß 〈imBillarpiel〉	1844.0	loan	1293	MISTAKE
Regenwurm,  Darmwurm	1395.0	Slavic	2350	EARTHWORM
krummwüchsig,  mager,  Schindmähre	1838.0	internal	2219	LEAN (MEAT)
Gitarre	1803.0	international word	3090	GUITAR
Ofen,  Brennpunkt,  Mittel-, Knotenpunkt,  Herd 〈einer Krankheit〉	1792.0	unknown	859	STOVE
Birnbaum,  Birne	1275.0	Slavic	922	PEAR
Storch,  Neukömmling in einer Gemeinschaft, Fuchs 〈in der Studentenspr〉,  langbeige magere Person,  Pflugschleife,  mehrarmiger Pfahl,  Art volkstümlicher Tanz	1333.0	internal	3724	STORK
Hode,  Kugel, Kügelchen,  Kugel 〈Geschoß〉,  Billiard spielen,  ausschieben 〈aus einer günstigen Lage〉	1629.0		1114	BULLET
geschwulstartige Vergrößerung der Schilddrüse,  Kropf 〈eines Vogels〉,  Skrofel, Geschwür,  geschwulstartige Pflanzenkrankheit	1228.0	Croatian or Serbian	1189	ULCER
Knopf 〈am Kleid usw〉,  Knoten,  Ohrläppchen,  Kugel, Schaumblase,  Obst, apfelähnl kleine Frucht,  zusammengeflochtener Haarbusch 〈haupts der Männer〉,  Augapfel	1138.0	uncertain	760	KNOT
Pilz,  kreisförmiges Verkaufshaus	1138.0	Slavic	641	MUSHROOM
Knäuel, Ballen,  Kugel,  Kokon,  rund, kugelrund	1405.0		1395	ROUND
knäueln, einwickeln	1513.0		1113	WRAP
Sorge,  Fürsorge, Kümmern um etw,  Gedanke,  Sache, Angelegenheit,  Sorgfalt,  Übel	1273.0	unknown	2214	AFFAIR
denken,  entscheiden,  bedenken,  sich kümmern,  einbilden,  meinen	1372.0	derived word	1415	THINK (REFLECT)
sittlich schlecht,  unheilvoll, schlimm,  krank,  Übel, Schaden,  Schandtat, Sünde,  böser Geist, Teufel,  sittlich schlechter, böser Mensch,  Anstoß erregen,  Anstoß nehmen an etw,  Skandal,  moralisch verderben 〈intr〉	1211.0	Slavic	1847	SICK
streuen, werfen,  zerwühlen	1800.0	unknown	1456	THROW
stachelige, buschige Pflanze,  grasbewachsener, unwegbarer Ort,  Stachel	1257.0		3798	STINGER
Baßgeige,  tief, rauh 〈Stimme〉	1771.0		1593	DEEP
Chef, Leiter 〈haupts einer Gaststätte〉,  Chef, Boß, Meister,	1920.0	Romani	2930	BOSS
ungebildet, unwissend,  rauh, grob 〈Gegenstand, Ding〉,  unhöflich, unartig 〈Mensch, Benehmen〉,  grausam,  groß, formlos, plump,  streng,  ungebildet, unwissend	1456.0	Slavic	1202	BIG
Anhöhe, Hügel, Halbinsel im Sumpf,  Feldrain	1330.0	Slavic	614	HILL
Gote,  die Goten betreffend, gotisch,  eckig, gebrochen 〈Buchstabe〉, mit gotischen Buchstaben 〈Schrift〉,  gotisch 〈Stil, Kunstwerk〉	1351.0	Latin	2757	ANGULAR (SQUAREFORMED)
Knopf am Kleide,  Buckel, Knoten, Beule	1724.0	uncertain	760	KNOT
Pelikan,  Möwe,  Reiher,  Trunkenbold, Vielfraß	1138.0	Turkic	950	SEAGULL
Kugel,  Knopf 〈am Kleide〉,  Ball 〈Spielzeug〉,  Knäuel	1476.0	uncertain	1114	BULLET
Dickerchen,  Preßkopf, Art Blutwurst,  Bauch,  Blidarm,  Klößchen 〈Speise〉	1351.0	derived word	1251	BELLY
Kugel,  kugel-, walzenförmig, rund,  rundlich, dicklich,  rund, unumwunden 〈Antwort〉	1529.0		1395	ROUND
Ballen, Bündel,  Verpackung	1529.0		2943	BUNDLE
Bucklige,  Buckel, Höcker,  Kurve,  Rücken,  Diagramm,  bucklig, Katzenbuckel habend,  gebogen, krumm,  unfreundlich, unwirsch,  unanständig, ehrlos,  gebirgig,  mit Zecherei verbracht, durchgezecht,  sich krümmen	1214.0	Slavic	1291	BACK
Krampf,  Holzknorren,  Schindmähre,  Verschlingung von Schnüren, Knoten,  Holzklotz am Ende des Brunnenschwengels, Klotz, Strunk,  magerer Mensch von kleinem Wuchs,  Geschwulst	1232.0	Slavic	760	KNOT
Mädchen,  Reuvegirl	1904.0	English	1646	GIRL
griechisch,  Grieche,  Kaufmann,	1156.0	Slavic	1082	MERCHANT
Kragen,  Nacken,	1910.0	uncertain	1347	NAPE (OF NECK)
Treppe, Treppenaufgang,  Stufe,  Grad,  Art leiterförmige Trage	1416.0	Latin	34	STAIRS
Granatapfel	1604.0	compound	3732	POMEGRANATE
Grenze, Grenzgebiet	1782.0	loan	2546	BORDER
zottiger Obermantel aus Wolle, Flaus,  Hund,  Flaus tragend	1321.0	uncertain	2009	DOG
Gallapfel,  Rispe,  Fruchtbecher 〈bes der Kastanie〉, Kaspelfrucht,  Augenlid,  klößchenartige Mehlspeise,  Augapfel,  Geld	1342.0	uncertain	1559	MONEY
das Geld hervorklauben, auslegen 〈beim Kartenspiel〉,  zahlen,  prüfen, mustern 〈die Karten beim Spiel〉,  zusammenklauben, suchen,  zusammenscharren,	1879.0	German	1468	LOOK FOR
Gallapfel,  Kokon,  Fruchtbecher 〈bes der Kastanie〉, Kaspelfrucht,  Rispe,  Auswuchs,  Augapfel,  klößchenartige Mehlspeise	1619.0	uncertain	3807	EYEBALL
Branntwein,  Bodensatz des Branntweines,  Marktbetrüger, -dieb	1697.0	unknown	1160	THIEF
 Kleid,  Bündel, Siebensachen,  Bettlaken	1388.0	Slavic	474	DRESS
Gurt,  Gürtel	1848.0	loan	772	BELT
Kropf, Struma,  Kropf der Vögel,  Diphterie,  Adamsapfel	1708.0	Romanian	802	ADAM'S APPLE
Appetit,  Geschmack,  Lust, Gefallen	1719.0		2190	TASTE
albern, unbeholfen	1214.0	derived word	3900	CLUMSY
Erdmaus, Art mausänliches Tier: Maulwurf, Ratte usw,  Langschläfer,  hamstern	1198.0	Turkic	1907	MOLE
Art Amsel,  albern, unbeholfen,  verrückt 〈scherzhaft〉	1792.0	onomatopoetic	3900	CLUMSY
stechen,  geschlechtlich verkehren,  sticheln,  Stechen,  Pfahl	1138.0	uncertain	571	STING
oft,  eng, knapp 〈Adv〉	1527.0	Proto-Finno-Ugric	1852	OFTEN
Fußsoldat,  Bauer 〈Schach〉,  zu Fuß gehend,  unberitten, Fuß-,  einfach,  zu Fuß,  ohne jegliches Werkzeug, von Hand,  Infanterist,  Fußgänger,  Infanterie	1371.0	Proto-Finno-Ugric	686	EASY
Hobel,  Hobel für Futter, Gemüse usw,  Ackerschlichte, Ackerhobel	1416.0	uncertain	1597	AIRPLANE
Baumwolle,  Wolle,  Watte	1372.0	Chuvash	964	WOOL
fehlbar 〈Mensch〉,  hinfällig, schwach	1456.0		1601	WEAK
erzeugen, herstellen,  bearbeiten,  fabrikmäßig erzeugen,  Erzeuger	1322.0		2886	PRODUCE
Trauer,  Trauerkleid,  Trauerzeit,  kläglich, unbeholfen 〈Person〉,  trauern	1416.0	Chuvash	1955	GRIEVE
dumm,  feig, unbeholfen,  empfindlich, jung, zart,  Dummkopf,  Feiling	1725.0	unknown	1518	STUPID
Rohrkolben,  Matte, Rohrdecke,  Binsenkorb 	1219.0	Chuvash	195	MAT
dürftig, kraftlos,  jung, zart,  schlank, dünn,  Mark, Medulla im Inneren des Pflanzenkörpers,  Schwächling,  Schwäche, schwache Seite	1282.0	unknown	1207	YOUNG
schütter, spärlich,  selten,  wenig	1291.0	unknown	1242	FEW
junge Person,  Knabe,  Folge, Ergebnis,  Nachkomme,  Kindheit,  Kinderei,  Kindchen,  kindlich,  sprossen,  Kindchen	1344.0	Chuvash	1366	BOY
Kerze,  Kerzenflamme, Kerzenlicht,  Steilschuß beim Fußball, Kerzenschlag,  Zündkerze	1372.0	Chuvash	1273	CANDLE
Eidechse,  Rachenbräune	1395.0	uncertain	632	LIZARD
Mörder	1356.0		3871	MURDERER
eine Krise allmählich überwinden, von einer Gemütskrankheit genesen,  genesen, zuheilen 〈Wunde〉	1372.0		1978	RECOVER
beichten, bekennen,  Beichtling	1372.0	Chuvash	2022	ADMIT
frisch, munter, bereitwillig,  schnell,  kräftig,  Schnellzug	1372.0	unknown	1631	FAST
Wald,  weide,	1211.0	unknown	420	FOREST
Geschlecht, Stamm,  Wurzel einer Pflanze,  das Innere, Grund,  Ursprung,  Wurzelwort,  Wurzel 〈Math〉	1086.0		2968	REASON
nicken,  nickend schlummern,  hinken,  lügen	1664.0	derived word	366	LIMP
Ingwer	1395.0	Latin	2500	GINGER
Mistel,  echte Perle, unechte Perle, Glasperle,  Knospe,  rundliche Erhabenheiten an der Oberfläche des Geweihes,  mit Perlen schmücken,  perlen	1164.0	Chuvash	1684	BUD
Perlhuhn	1780.0	German	456	GUINEA FOWL
siegen,  vermögen, leisten,  überzeugen	1372.0	unknown	866	WIN
anzünden,   anstimmen,  Zündholz	1372.0		737	LIGHT (IGNITE)
kneten, durcheinanderdrücken,  bereden, zu überzeugen suchen,  massieren 〈Körperbehandlung〉,  Masseur,  Knetmasse	1213.0	Chuvash	274	KNEAD
sich versammeln, sich anhäufen,  eitern, schwären,  Versammlung,  hergelaufen	1355.0		3638	ASSEMBLE (GET TOGETHER)
hassen	1372.0		1607	HATE
Frucht, Obst,  Leibesfrucht, Sproß,  Frucht 〈abstr〉,  Obstgarden	1221.0	Chuvash	1507	FRUIT
Hügel,  Scheibe, Schnitte,  Ranft	1300.0	unknown	614	HILL
,  ob,  wann?,  höchstens, bloß,	1350.0	lexicalized inflected word-form	1238	WHEN
Welle, Wellenschlag,  Bimsstein,  Schaum,  Schaum, hullámzó, tétovázik, tajtékzik, habossá válik, hullámokon hányódik, habot csinál, leszed, habbal beken, díszít	1221.0	Proto-Uralic	978	WAVE
quirlen, umtühren 〈in eine Speise〉 einrühren,  sich beeilen, beschleunigen,  stören, belästigen,  plappern, blubbern, kavarófa, a ló felső ajka, száj,  sich streiten,  sich in jmdn vernarren	1550.0		2869	BOTHER (HARASS)
stottern, stammeln,  herumzappeln, im Wasser plätchern	1680.0	onomatopoetic	1866	STUTTER
stören, belästigen, beunruhigen,  aufrühren〈Wasser〉	1372.0		2869	BOTHER (HARASS)
stören, belästigen, beunruhigen, zornig machen, ärgern,  stören, belästigen, beunruhigen, zornig machen, ärgern,  wogen lassen, hochgehen lassen,  Überkeit verursachen	1372.0		2869	BOTHER (HARASS)
streiten, zanken	1456.0	derived word	3302	QUARREL (VERB)
Tumult, Getümmel, Unruhe,  Sturm, Gewitter,  Krieg,  Krieg,  stürmisch,  unruhig, erregt,  zornig, uneinig,  aufgeregt, erregt, zornig, uneinig,  verrückt, verwirrt	1138.0	derived word	935	WAR
wogen,  wogen, unruhig sein,  in der Wellen treiben,  zögern,  stammeln,  schäumen,  schäumen	1423.0	derived word	3629	HESITATE
herumzappel, im Wasser plätschern,  mit der Fischtrampe trüben, stören	1786.0		2883	DISTURB
Heer,  Krieg,  Trupp, Haufen,  Trupp, Haufen,  Sippe,  Krieg 	1055.0	Proto-Uralic	935	WAR
steigen,  ansteigen 〈Gelände, Weg〉,  treten,  bespringen,  besteigen, fellépni kényszerít,  bespringen, 〈lovat, szarvasmarhát stb.〉 párosít	1323.0	Proto-Finno-Ugric	1135	KICK
Leiter, Auftritt,  Treppe, Stufe,  Durchgang zwischen Gärten,  Durchgang zwischen Gärten,  Dachboden	1395.0	internal	34	STAIRS
verlassen,  lassen 〈etwas tun, geschehen 〉,  vererben, hinterlassen,  befehlen, anordnen,  jemanden oder etwas in demselben Zustand, an demselben Ort lassen,  anvertrauen, überlassen,  anvertrauen, überlassen,  mit einer Sache aufhören, bleiben lassen,  verkaufen,  aufschieben, übriglassen,  aufschieben, übriglassen,  Spur usw. hinterlassen,  genehmigen, zulassen, bewilligen,  Verlassung, Scheidung,  Nachlaß,  Tradition, örökhagyó, tradicionális,  nachlassen,  das Lassen, maradék, valakinek a halála után maradt vagyon	1211.0	Proto-Uralic	1134	DIVORCE
spucken,  küssen,  Speichel,  spuken	1372.0	Proto-Ugric	578	KISS
Kopfhaar,  Kopfhaar,  Ähre, Haar an Pflanzen bzw. Seide am Mais,  Faden	1211.0		1161	THREAD
Schmer,  Schmer,  Salbe	1211.0	Proto-Finno-Ugric	1926	OINTMENT
Verbeugungen machen, dienern,  schmeicheln,   nicken,  schwanken, sich neigen, sich beugen 〈Pflanze〉	1815.0	internal	573	SWAY
Aufforderung zum Schlafen bei Kindern,  Wiege,  schlafen gehen, ins Bett gehen,  schlafen	1854.0		1585	SLEEP
jagen, nachjagen	1652.0		1435	HUNT
treiben, jagen, hetzen 	1799.0		1435	HUNT
Obdach, Hütte, Wohnung,  Beuge, Krümmung	1231.0	derived word	1678	HUT
Schiff,  Schiff 〈in der Kirche〉,  Luftschiff,  Kahn, hajózható, hajóval kapcsolatos, arra vonatkozó	1181.0	uncertain	740	SHIP
biegen, bogenförmig umbiegen,  ausleeren,  unterwerfen,  〈Weg〉 führen,  jemandem gewogen sein,  etw einreichnen,  falten, zusammenfalten,  zuhören, sich um etw. kümmern, willfahren,  zuhören, beachten, willfahren,  wiederholen,  Deklination	1364.0		1608	LISTEN
in Bewegung setzen, halten, bewegen,  treiben,  zu etwas bewegen, antreiben,  〈Schulden〉 eintreiben,  einbringen,  〈eine Maschine〉in Betrieb halten,  〈Darminhalt, Urin〉abführen,  fahren〈als Transitiv〉, fahren 〈als Intransitiv〉,  dringen, antreiben,  sich strapazieren, sich abrackern, sich schinden,  Viehtreiber, állatterelő, hajcsár,  Kutscher	1364.0	uncertain	1448	HOLD
sich räuspern, spucken, ausspeisen,  krächzen, schnattern	1585.0		1440	SPIT
sich zu bewegen aufhören, erstarren, absterben, verkümmern 〈Teil eines Organismus〉,  sterben,  die Tatkraft verlieren, außer Gebrauch kommen 〈Gegenstand〉,  ohnmächtig werden, ermatten, erschlaffen,  in etwas aufgehen, sich in etwas verlieren,  aussterben,  〈zugunsten jemandes〉 Testament machen,  Tote, meghalás, halál, halhatatlanság,  sterblich,  aus dem Tod	1138.0		1494	DIE
Fisch,  unerfahrener Mensch, Anfänger,  Fischer,  fischen	1075.0		227	FISH
übernachten, schlafen,  übernachten, schlafen,  Geschlechtsverkehr ausüben,  Schlafzimmer	1214.0	Proto-Finno-Ugric	1585	SLEEP
Schläfe,  schwach, schwach gesponnen, sich fasernd 〈Garn〉	1627.0		1601	WEAK
leise,  leise,  langsam,  langsam,  mild	1449.0	unknown	701	SLOW
hören,  vernehmen,  zuhören,  Gehör schenken, willfahren,  das Hören,  hören lassen 	1195.0		1408	HEAR
zühören,  Gehör schenken,  schweigen, unerwähnt lassen,  horchen,  gehören,  belauschen,   hören, besuchen,  belauschen,  schweigen, titokban kihallgat vagy kihallgatni akar,  Stille,  Zuhörgeschaft 	1372.0	derived word	1408	HEAR
Haufen,  Verbrechenskonkurrenz	1757.0		2984	HEAP
Netz,  Falle	1267.0	Proto-Uralic	2963	NET
niedriger Hügel,  Haufen, Stoß, Menge,  Kartoffelmiete,  häufen 〈auch abstr〉	1055.0	Slavic	2987	AMOUNT
Flußarm,  Stumpf,  Bodensenken angesammeltes Wasser,  in Bodensenken angesammeltes Wasser, im Austrocknen begriffener Teichboden,  schwach, gebrechlich, kränklich,  blaß, blutleer 〈Gesicht, Körperteil〉,  gelblich, fahlgrau, hell, matt 〈Farbe〉,  im Austrocknen begriffen 〈Tei〉,  nicht klar sichtbar,verschwommen, kaum wahrnehmbar,  nachgiebig, morastig 〈Boden〉, verwässert 〈Acker〉,  ans Echte, Richtige kaum erinnernd 〈Abbild, Nachbildung, Kopie usw.〉	1485.0	derived word	1601	WEAK
schnell, in kurzer Zeit erfolgend,  in kurzer Zeit, bald,  schnell, plötzlich, rasch,  früh,  eher,  Wettbewerb,  schnell,  eher	1198.0	unknown	1631	FAST
arglistig, böse,  unwahr,  unecht, falsch,  schelmisch,  falsch 〈in der Musik, im Singen〉,  bös, bissig, ausschlagend 〈Tier〉,  megcáfol,  fälschen	1067.0	uncertain	45	EVIL
schälen,  herausbekommen und verstehen	1416.0		275	PEEL
Asche,  Leiche,  mit Asche bedeckt od gefüllt,  aschfarben, aschgrau, meszes bőrkikészítő anyagot tartalmazó gödör, edény, láda,  flaumig, duftig 〈Obst〉, vászonlepedő 〈a szapulóban〉,  samtig, jugendfrisch	1211.0	Proto-Finno-Ugric	646	ASH
Hüglein,  Hüglein, Erdhaufen,  Ercholle,  Haufen,  Ameisenhaufen, Maulwurfshügel,  Bülte,  Grenzhaufen, Grenzrain,  Maulwurf,  in der Erde gebliebene Wurzeln und Stumpf des Maises	1640.0	derived word	2984	HEAP
als,  aber, sondern 	1350.0	compound	3843	BUT
Ton, Schall, Klang, Stimme, Laut,  Ton, Schall, Klang, Stimme, Laut,  Sprachlaut, Wort,  Redeweise, Sprechweise, Ton,  Gesang, Musik,  Vokal 	1086.0		1599	WORD
Schuppen, Schopf, Wetterdach,  Flugzeughalle, Hangar 	1880.0	international word	266	SCALE
Ameise 	1313.0		587	ANT
leugnen,  reden	1782.0		2708	TALK
Reden,  leeres Gerede, Faselei	1917.0		1623	SPEAK
Sumpf,  Ercholle,  Sumpf, nádas, ingoványos terület	1075.0	Proto-Uralic	1145	SWAMP
werfen,  prahlen, sich überheben,  vorwerfen,  erwägen,  speien 〈Feuer, Funken usw〉,  verzieren,  verzieren,  ausbrechen, sich erbrechen,   ablegen,  machen,  〈Feuer, Funken usw.〉 speien, dobáltat, hányni késztet, dobálja magát	1416.0	Proto-Finno-Ugric	1456	THROW
wieviel?	1416.0	Proto-Uralic	822	HOW MANY
sich kehren, sich neigen,  stürzen, fallen,  verfallen, sich zurückentwickeln,  sinken 〈Sonne〉	1551.0	derived word	1280	FALL
auf den Rücken, rücklings 〈fallen, sich legen〉,  rücklings (fallen, sich legen,  auf dem Rücken 〈liegen〉,  auf dem Rücken 〈liegen〉,	1470.0		215	LIE DOWN
schnattern 〈Ente, Wildente〉,  um Atem ringen,  stottern, stammeln,  sich räuspern, spucken	1772.0		1440	SPIT
stehlen,  erhaschen, wegschnappen,  erhaschen, wegschnappen,	1911.0	German	713	STEAL
Freund, Spezi 〈auch als Anrede〉, Komplize, Helfershelfer,  Mann, Patron	1924.0	internal	1554	MAN
Glocke, Glöckchen,  Glocke,  Viehglocke,  Viehglocke,  glockenförmiger Gegenstand, csengő, harang, kolomp, csengő, csengettyű, egy fajta csengettyű, csengő a lovon,  sámáncsengő	1211.0		2246	BELL
beißen,  öfters beißen 	1427.0	Proto-Finno-Ugric	1403	BITE
kämpfen, streiten	1476.0		1423	FIGHT
Harfe	1560.0	loan	2597	HARP
Strumpf,  eng anliegende Hose aus  Turch,  eng anliegende Hose aus weißem Turch,  Leder, das oberhalb des Bunchuhes um das Bein gewickelt wird,  Glühkörper des Gaslichts, Strumpf 	1470.0	Ukranian	629	LEATHER
Specht 	1323.0	Proto-Ugric	2447	WOODPECKER
Tau 〈Niederschlag〉,  ungewöhnlich zart, weich	1355.0	Proto-Uralic	1856	SOFT
dreißig,  dreißigste,  Dreißigstzoll,  Beamter, der den Dreißigstzoll einhebt	1405.0	internal	1715	THIRTY
Glasharmonika,  Mundharmonika,  Zieh-, Handharmonika	1810.0	German	2590	HARMONICA
drei,  dritter,  Drittel,  Terz 〈Music〉,  verdreifachen,  Dreifaltigkeit	1055.0	Proto-Finno-Ugric	492	THREE
ringen, kämpfen, zanken	1405.0	derived word	1423	FIGHT
Bauch, Vorderteil des Rumpfes,  Gebärmutter, Unterleib der Schwangeren,  Bauch des Kruges,  bauchig,  tragend, schwanger,  Blutfluß haben,  auf dem Bauch liegen,   erfinden, faseln,  Ruhr,  aufs Geratewohl 〈sagen〉	1372.0	unknown	1251	BELLY
Scheit,  Schnitte,  Ackerfläche, Schlag 〈bestimmter Größe〉,  Prisma,  Spalte, Kolumne, Fahne, Korrekturabzug	1527.0	derived word	2623	FLAG
Ähnlichkeit,  Gleichnis,  Entzweiung,  angleichen, gleichmachen,  vergleichen,  heucheln, sich stellen,  unvergleichbar,  ähneln, gleichen,  sich entzweien, sich innerlich spalten,  entfernen,  Ähnlichkeit,  Entzweiung	1372.0		3429	COMPARE
erfolglos, vergeblich,  unnütz,  ohne Nutzen,  erfolglos, vergebens, umsonst	1750.0	internal	1765	IN VAIN
können, vermögen,  ergreifen, packen 〈Gefühl〉,  haben,   dringen,  wirken, wirksam sein,  erscheinen, anmuten,  Behausung,  über Macht verfügend,  wirksam,  ungangbar,  Eindringen,  Wirkung,  durchdrungen werden,  gerührt sein,  wirksam,  rührend	1372.0	Proto-Uralic	972	BE ABLE
sechs,  sechster,  Sechstel,  Sexte 〈Musik〉	1138.0	Proto-Finno-Ugric	1703	SIX
dann,  ja, also, nun	1474.0	internal	2921	THEN
Magen, Bauch,  Ausschlag, Geschwür,  bauchig 〈Gefäß, Faß〉,  schwärend 〈Haut, Körper〉	1405.0	unknown	1251	BELLY
Handlungsfähigkeit, Recht zu handeln,  Herrschaft,  Gewalt,  Behörde,  Potenz,  macht,  Macht habend,  von großer Ausdehnung,  herrschen, machthaberisch handeln,  große Macht ausübend	1372.0	derived word	2976	VIOLENCE
